Sample	Unique Reads	Duplicate Reads
SNI_Sal_1_1	8822441.0	14096228.0
SNI_Sal_1_2	9744083.0	13174586.0
SNI_Sal_2_1	3648804.0	20673809.0
SNI_Sal_2_2	5886285.0	18436328.0
SNI_Sal_3_1	16000601.0	10880387.0
SNI_Sal_3_2	16920990.0	9959998.0
SNI_Sal_4_1	5223165.0	21033749.0
SNI_Sal_4_2	6539133.0	19717781.0
SNI_oxy_1_1	13777831.0	9095000.0
SNI_oxy_1_2	15012657.0	7860174.0
SNI_oxy_2_1	15337895.0	7838961.0
SNI_oxy_2_2	17081407.0	6095449.0
SNI_oxy_3_1	7700176.0	12238756.0
SNI_oxy_3_2	9141095.0	10797837.0
SNI_oxy_4_1	13013720.0	9759789.0
SNI_oxy_4_2	14566660.0	8206849.0
Sham_Sal_1_1	8918240.0	17710243.0
Sham_Sal_1_2	10684543.0	15943940.0
Sham_Sal_2_1	14368868.0	10373255.0
Sham_Sal_2_2	16263915.0	8478208.0
Sham_Sal_3_1	11539984.0	15507808.0
Sham_Sal_3_2	12823704.0	14224088.0
Sham_Sal_4_1	9340723.0	15413914.0
Sham_Sal_4_2	11861900.0	12892737.0
Sham_oxy_1_1	6696689.0	19371169.0
Sham_oxy_1_2	8184654.0	17883204.0
Sham_oxy_2_1	14790184.0	6602517.0
Sham_oxy_2_2	16156297.0	5236404.0
Sham_oxy_3_1	10172103.0	13806019.0
Sham_oxy_3_2	11717651.0	12260471.0
Sham_oxy_4_1	10718970.0	12473731.0
Sham_oxy_4_2	12583548.0	10609153.0
