Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Nonoptical	Duplicate Unpaired
SNI_Sal_1	11038754.0	6756.0	30882776.0	31497.0
SNI_Sal_2	3805396.0	6162.0	27784420.0	69940.0
SNI_Sal_3	30397910.0	25658.0	9099858.0	21014.0
SNI_Sal_4	8080804.0	4439.0	35366834.0	47451.0
SNI_oxy_1	27051236.0	29381.0	12761844.0	36169.0
SNI_oxy_2	31018058.0	60825.0	11089882.0	64982.0
SNI_oxy_3	10225786.0	6110.0	25981948.0	33602.0
SNI_oxy_4	22742702.0	14607.0	17976136.0	34601.0
Sham_Sal_1	11236946.0	10901.0	20344650.0	30004.0
Sham_Sal_2	32122592.0	30205.0	14509522.0	57260.0
Sham_Sal_3	20133226.0	10886.0	29732498.0	40505.0
Sham_Sal_4	13475932.0	13519.0	28536694.0	62684.0
Sham_oxy_1	8971212.0	10301.0	5719024.0	10691.0
Sham_oxy_2	28479920.0	41313.0	9654890.0	35921.0
Sham_oxy_3	19444748.0	15670.0	19797104.0	35852.0
Sham_oxy_4	15970874.0	9941.0	22750616.0	42212.0
