Sample	Exonic	Intronic	Intergenic
SNI_Sal_1	21113500.0	14537115.0	2409958.0
SNI_Sal_2	6313197.0	8258712.0	5795163.0
SNI_Sal_3	13630404.0	20405036.0	3056145.0
SNI_Sal_4	11380734.0	10263882.0	7008657.0
SNI_oxy_1	18230352.0	13775236.0	2478935.0
SNI_oxy_2	18922365.0	16835861.0	2614911.0
SNI_oxy_3	17963124.0	12047988.0	2087583.0
SNI_oxy_4	14402353.0	20639429.0	3116845.0
Sham_Sal_1	11833484.0	14771157.0	2261042.0
Sham_Sal_2	26640707.0	12556091.0	2461635.0
Sham_Sal_3	26645294.0	14947741.0	2695071.0
Sham_Sal_4	19781924.0	11472821.0	4317082.0
Sham_oxy_1	4772893.0	7427404.0	1318263.0
Sham_oxy_2	14292018.0	19157569.0	2702614.0
Sham_oxy_3	12614100.0	14995955.0	8090981.0
Sham_oxy_4	17234110.0	15545590.0	2467099.0
