Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
SNI_Sal_1	2644339.0	31895.0	25789.0
SNI_Sal_2	460092.0	5018.0	91125.0
SNI_Sal_3	4031424.0	50058.0	52195.0
SNI_Sal_4	1345613.0	15102.0	69173.0
SNI_oxy_1	6008326.0	76535.0	66003.0
SNI_oxy_2	6998397.0	88673.0	66905.0
SNI_oxy_3	2620479.0	31220.0	24174.0
SNI_oxy_4	3264455.0	40751.0	40127.0
Sham_Sal_1	1731433.0	20868.0	25385.0
Sham_Sal_2	9298025.0	113306.0	74854.0
Sham_Sal_3	5689690.0	67933.0	50680.0
Sham_Sal_4	3443882.0	40839.0	60339.0
Sham_oxy_1	1052204.0	11961.0	18268.0
Sham_oxy_2	4706577.0	57279.0	50437.0
Sham_oxy_3	3684743.0	42762.0	57486.0
Sham_oxy_4	3199457.0	38139.0	33743.0
