Sample	Mapped (with MQ>0)	MQ0
SNI_Sal_1	41571620.0	388163.0
SNI_Sal_2	31121968.0	543950.0
SNI_Sal_3	39277794.0	266646.0
SNI_Sal_4	42937871.0	561657.0
SNI_oxy_1	39576720.0	301910.0
SNI_oxy_2	41976864.0	256883.0
SNI_oxy_3	36062317.0	185129.0
SNI_oxy_4	40518046.0	250000.0
Sham_Sal_1	31391777.0	230724.0
Sham_Sal_2	46516956.0	202623.0
Sham_Sal_3	49664599.0	252516.0
Sham_Sal_4	41695487.0	393342.0
Sham_oxy_1	14567032.0	144196.0
Sham_oxy_2	38052201.0	159843.0
Sham_oxy_3	38970351.0	323023.0
Sham_oxy_4	38494052.0	279591.0
