Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SNI_Sal_1	19133369.0	1865649.0	19238.0	1808716.0	91697.0
SNI_Sal_2	13483064.0	2387946.0	4348.0	8422932.0	24323.0
SNI_Sal_3	18625571.0	1169985.0	34946.0	6899904.0	150582.0
SNI_Sal_4	17965630.0	3810079.0	5897.0	4420187.0	55121.0
SNI_oxy_1	17345214.0	2626876.0	27546.0	2779404.0	93791.0
SNI_oxy_2	19311323.0	1868454.0	19028.0	1873699.0	104352.0
SNI_oxy_3	16134083.0	2009496.0	14662.0	1698935.0	81756.0
SNI_oxy_4	19157955.0	1250672.0	26020.0	2211329.0	127533.0
Sham_Sal_1	14504674.0	1327029.0	26697.0	10658255.0	111828.0
Sham_Sal_2	20962286.0	2441236.0	17103.0	1237515.0	83983.0
Sham_Sal_3	22271696.0	2712557.0	22282.0	1935675.0	105582.0
Sham_Sal_4	18628835.0	2453681.0	20529.0	3592176.0	59416.0
Sham_oxy_1	6804408.0	561702.0	18145.0	18608014.0	75589.0
Sham_oxy_2	18163774.0	980865.0	19651.0	2125759.0	102652.0
Sham_oxy_3	17913062.0	1759386.0	12355.0	4230993.0	62326.0
Sham_oxy_4	17718267.0	1694631.0	26125.0	3637681.0	115997.0
