Sample	TEC	snRNA	protein_coding	processed_pseudogene	antisense	sense_intronic	lincRNA	processed_transcript	miRNA	snoRNA	misc_RNA	unprocessed_pseudogene	transcribed_unprocessed_pseudogene	sense_overlapping	rRNA	transcribed_processed_pseudogene	pseudogene	ribozyme	unitary_pseudogene	scaRNA	polymorphic_pseudogene	IG_C_gene	IG_C_pseudogene	IG_J_gene	IG_D_gene	IG_D_pseudogene	IG_V_pseudogene	IG_V_gene	IG_LV_gene	TR_V_gene	TR_J_gene	TR_C_gene	TR_V_pseudogene	TR_D_gene	TR_J_pseudogene	sRNA	macro_lncRNA	3prime_overlapping_ncrna	translated_unprocessed_pseudogene	Mt_tRNA	Mt_rRNA
SNI_Sal_1	39048.0	40345.0	10188771.0	9769.0	23351.0	6685.0	284540.0	44664.0	16294.0	12512.0	158267.0	3497.0	4507.0	1009.0	2319.0	1224.0	2245.0	65229.0	260.0	5263.0	204.0	99.0	0.0	3.0	0.0	0.0	1.0	4.0	0.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	442.0	512075.0
SNI_Sal_2	5186.0	565.0	2265905.0	1741.0	83027.0	732.0	28928.0	5653.0	97836.0	510.0	12216.0	922.0	611.0	91.0	740984.0	200.0	302.0	2485.0	39.0	351.0	43.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	231.0	106814.0
SNI_Sal_3	49526.0	11610.0	6544414.0	8367.0	17617.0	8057.0	316304.0	31935.0	21524.0	6440.0	87844.0	2211.0	3475.0	640.0	12574.0	843.0	1882.0	32743.0	167.0	2609.0	270.0	79.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	619.0	308988.0
SNI_Sal_4	7235.0	8914.0	2358228.0	2610.0	24608.0	1330.0	55701.0	7850.0	1218892.0	2226.0	36949.0	1225.0	733.0	125.0	1607374.0	227.0	333.0	7965.0	44.0	1004.0	48.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	677.0	1060059.0
SNI_oxy_1	34581.0	25800.0	8568457.0	9490.0	19256.0	5647.0	239715.0	37824.0	19957.0	12791.0	258511.0	3018.0	4224.0	934.0	1687.0	1103.0	1961.0	96606.0	246.0	7051.0	316.0	68.0	0.0	8.0	0.0	0.0	0.0	3.0	0.0	10.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	395.0	526979.0
SNI_oxy_2	46368.0	7280.0	9639719.0	11719.0	22203.0	6812.0	256444.0	47888.0	6127.0	5974.0	179060.0	3333.0	4678.0	1112.0	851.0	1282.0	2518.0	77450.0	277.0	4961.0	350.0	56.0	1.0	3.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	309.0	61492.0
SNI_oxy_3	32986.0	8046.0	8912896.0	8355.0	18285.0	5529.0	221679.0	38076.0	28465.0	5892.0	198772.0	2360.0	3869.0	712.0	1529.0	1033.0	2123.0	85011.0	203.0	5095.0	300.0	150.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390.0	221540.0
SNI_oxy_4	50821.0	11173.0	6947963.0	8501.0	19588.0	7893.0	302347.0	34380.0	32464.0	6398.0	102593.0	2215.0	4052.0	692.0	5134.0	943.0	1873.0	33164.0	210.0	2530.0	342.0	66.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	352.0	408438.0
Sham_Sal_1	37580.0	9456.0	5757264.0	7207.0	15474.0	6121.0	229934.0	31051.0	20747.0	5625.0	108424.0	1657.0	2612.0	713.0	10533.0	881.0	1625.0	52558.0	163.0	4007.0	264.0	24.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	866.0	185472.0
Sham_Sal_2	33356.0	9183.0	12786655.0	12271.0	24696.0	6524.0	354251.0	49258.0	41786.0	7025.0	254164.0	3949.0	5844.0	1209.0	598.0	1590.0	2736.0	77130.0	381.0	6114.0	317.0	140.0	0.0	9.0	0.0	0.0	0.0	5.0	0.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	345.0	780569.0
Sham_Sal_3	38424.0	14376.0	12839163.0	12287.0	24917.0	7468.0	360075.0	54936.0	58395.0	10900.0	251320.0	2773.0	5747.0	1209.0	1034.0	1782.0	2786.0	110033.0	474.0	9790.0	401.0	117.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	10.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	260.0	763669.0
Sham_Sal_4	22596.0	12786.0	8793752.0	9017.0	17075.0	4434.0	239510.0	34348.0	19753.0	7209.0	179516.0	2467.0	4692.0	805.0	370295.0	1192.0	1744.0	60463.0	259.0	4756.0	259.0	122.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	10.0	4.0	273.0	659052.0
Sham_oxy_1	17182.0	5319.0	2211836.0	2626.0	5808.0	2922.0	122959.0	11095.0	11834.0	2660.0	43650.0	722.0	1042.0	191.0	36478.0	249.0	696.0	17020.0	52.0	1087.0	84.0	17.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.0	104078.0
