Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
SNI_Sal_1	1.04422754862363	0.0203017724086394	0.73676	1.07	20960765.0	21.340330637582806	0.004484028	7649036.0	41959783.0	100.0	99.90883413291246	0.9250834304838994	41959783.0	49608819	49608819	100.0	83.48	19133369.0													
SNI_Sal_1_1																			61.74737131762462	48.0	150.0	150	27.27272727272727	23075215.0	9.703898548001973	61.50543937753415	47.0	135.12401854575413	147	18.181818181818183	22918669.0
SNI_Sal_1_2																			57.38148590349036	48.0	150.0	150	18.181818181818183	23075215.0	11.372814742282285	57.484079946060874	47.0	133.4948554385946	147	18.181818181818183	22918669.0
SNI_Sal_2	0.566757012166088	22.083433669588935	0.879632	1.01	15794908.0	8.537715526401158	0.01708758	7979863.0	31665918.0	100.0	99.759672212882	1.7177774539806487	31665918.0	39645781	39645781	100.0	55.43	13483064.0													
SNI_Sal_2_1																			86.48429172759501	56.0	150.0	150	45.45454545454545	24591295.0	13.803295407311136	84.99830842126084	57.0	129.1959513149348	147	36.36363636363637	24322613.0
SNI_Sal_2_2																			75.80072283159603	56.0	150.0	150	36.36363636363637	24591295.0	16.63228032521264	75.79912751985816	57.0	126.0782613282545	142	36.36363636363637	24322613.0
SNI_Sal_3	0.112875896494324	0.16830960614963197	0.230649	0.97	19748884.0	66.21796474586685	0.004836064	4997231.0	39544440.0	100.0	99.8819758226441	0.6742945405220051	39544440.0	44541671	44541671	100.0	69.29	18625571.0													
SNI_Sal_3_1																			42.317082961657384	51.0	150.0	150	27.27272727272727	26997272.0	22.476512910884725	40.476144026550095	52.0	116.08073282127874	122	18.181818181818183	26880988.0
SNI_Sal_3_2																			38.61524923369005	51.0	150.0	150	18.181818181818183	26997272.0	23.39264641257087	37.0522021675983	52.0	115.18289059911042	117	18.181818181818183	26880988.0
SNI_Sal_4	0.0943276176472313	25.09805403398332	0.81413	1.05	21723819.0	13.096643271952646	0.01352683	12832143.0	43499528.0	100.0	99.88071134932774	1.2911795272813074	43499528.0	56331671	56331671	100.0	68.42	17965630.0													
