Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SNI_Sal_1	Unknown Library	38253.0	20960765.0	7649036.0	0.0	31497.0	15441388.0	0.0	0.73676	5658698.0
SNI_Sal_2	Unknown Library	76102.0	15794908.0	7979863.0	0.0	69940.0	13892210.0	0.0	0.879632	1903171.0
SNI_Sal_3	Unknown Library	46672.0	19748884.0	4997231.0	0.0	21014.0	4549929.0	0.0	0.230649	35987280.0
SNI_Sal_4	Unknown Library	51890.0	21723819.0	12832143.0	0.0	47451.0	17683417.0	0.0	0.81413	4059655.0
SNI_oxy_1	Unknown Library	65550.0	19906540.0	8982565.0	0.0	36169.0	6380922.0	0.0	0.320924	23983517.0
SNI_oxy_2	Unknown Library	125807.0	21053970.0	6106804.0	0.0	64982.0	5544941.0	0.0	0.264122	32591865.0
SNI_oxy_3	Unknown Library	39712.0	18103867.0	6311889.0	0.0	33602.0	12990974.0	0.0	0.717721	5284797.0
SNI_oxy_4	Unknown Library	49208.0	20359419.0	5015656.0	0.0	34601.0	8988068.0	0.0	0.441786	15603354.0
Sham_Sal_1	Unknown Library	40905.0	15790798.0	5146869.0	0.0	30004.0	10172325.0	0.0	0.644309	6068172.0
Sham_Sal_2	Unknown Library	87465.0	23316057.0	7523968.0	0.0	57260.0	7254761.0	0.0	0.311792	29207666.0
Sham_Sal_3	Unknown Library	51391.0	24932862.0	8410697.0	0.0	40505.0	14866249.0	0.0	0.596449	11316457.0
Sham_Sal_4	Unknown Library	76203.0	21006313.0	8119510.0	0.0	62684.0	14268347.0	0.0	0.6795	7108035.0
Sham_oxy_1	Unknown Library	20992.0	7345118.0	2521968.0	0.0	10691.0	2859512.0	0.0	0.389479	6781226.0
Sham_oxy_2	Unknown Library	77234.0	19067405.0	3585756.0	0.0	35921.0	4827445.0	0.0	0.253606	30988399.0
Sham_oxy_3	Unknown Library	51522.0	19620926.0	6000167.0	0.0	35852.0	9898552.0	0.0	0.50474	12127430.0
Sham_oxy_4	Unknown Library	52153.0	19360745.0	6394106.0	0.0	42212.0	11375308.0	0.0	0.587843	9051506.0
