Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
SNI_Sal_1	49608819	0	30914273	7649036	0	452346	10593164	5299670	5293494	5296600	5296564	8349601	2243563	10586686	0	21.35338879968096	21.340330637582806
SNI_Sal_2	39645781	0	27854360	7979863	0	420723	3390835	1698370	1692465	1695385	1695450	2912083	478752	3384844	0	8.55282684429902	8.537715526401158
SNI_Sal_3	44541671	0	9120872	4997231	0	903925	29519643	14771736	14747907	14759731	14759912	25999239	3520404	29494588	0	66.27421544198465	66.21796474586685
SNI_Sal_4	56331671	0	35414285	12832143	0	703379	7381864	3692991	3688873	3690892	3690972	6192150	1189714	7377558	0	13.104287284501112	13.096643271952646
SNI_oxy_1	48861195	0	12798013	8982565	0	950827	26129790	13078820	13050970	13064646	13065144	20990089	5139701	26101036	0	53.47759095945156	53.41874262387566
SNI_oxy_2	48340551	0	11154864	6106804	0	903663	30175220	15116809	15058411	15087210	15088010	24355430	5819790	30115738	0	62.42216808823714	62.29912025620064
SNI_oxy_3	42559335	0	26015550	6311889	0	424598	9807298	4906373	4900925	4903657	4903641	7625625	2181673	9801508	0	23.043823405605373	23.03021886972623
SNI_oxy_4	45783702	0	18010737	5015656	0	700452	22056857	11035113	11021744	11028425	11028432	19240874	2815983	22042762	0	48.17622000073301	48.14543393629462
Sham_Sal_1	36769370	0	20374654	5146869	0	465204	10782643	5396399	5386244	5391252	5391391	9266950	1515693	10772126	0	29.325068664488946	29.296466053130636
Sham_Sal_2	54243547	0	14566782	7523968	0	1051506	31101291	15564965	15536326	15550347	15550944	23341458	7759833	31071880	0	57.33638878740729	57.28216851305834
Sham_Sal_3	58327812	0	29773003	8410697	0	721374	19422738	9716286	9706452	9711259	9711479	14670923	4751815	19412330	0	33.299274109579144	33.28143013490717
Sham_Sal_4	50208339	0	28599378	8119510	0	692088	12797363	6405008	6392355	6398543	6398820	9849311	2948052	12784368	0	25.488520940714647	25.46263878595944
Sham_oxy_1	17233196	0	5729715	2521968	0	406447	8575066	4292264	4282802	4287605	4287461	7647502	927564	8565112	0	49.7590000136945	49.70123939865827
Sham_oxy_2	41797800	0	9690811	3585756	0	762116	27759117	13899262	13859855	13879240	13879877	23803803	3955314	27718652	0	66.4128662274091	66.31605491198101
Sham_oxy_3	45293541	0	19832956	6000167	0	755989	18704429	9359493	9344936	9352087	9352342	15597005	3107424	18689146	0	41.296018343984194	41.2622762260959
Sham_oxy_4	45167749	0	22792828	6394106	0	621550	15359265	7684132	7675133	7679627	7679638	12604533	2754732	15349786	0	34.004937903812746	33.98395169084029
