Sample	pe_sense	pe_antisense	failed
SNI_Sal_1	0.0104	0.9299	0.0597
SNI_Sal_2	0.0557	0.8956	0.0487
SNI_Sal_3	0.0139	0.9451	0.0409
SNI_Sal_4	0.0935	0.8565	0.0501
SNI_oxy_1	0.0167	0.9509	0.0325
SNI_oxy_2	0.0101	0.9544	0.0355
SNI_oxy_3	0.0127	0.9319	0.0554
SNI_oxy_4	0.0143	0.9573	0.0285
Sham_Sal_1	0.0155	0.9239	0.0606
Sham_Sal_2	0.0102	0.9551	0.0347
Sham_Sal_3	0.0106	0.9166	0.0727
Sham_Sal_4	0.0121	0.925	0.0629
Sham_oxy_1	0.0123	0.9343	0.0534
Sham_oxy_2	0.0124	0.951	0.0366
Sham_oxy_3	0.0105	0.9337	0.0558
Sham_oxy_4	0.0139	0.9359	0.0502
