Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
SNI_Sal_1	2703174	2644339	31895	25789	149854	134595	9067	6192	97.82348454076578	1.179909247425434	0.9540266368350687	89.81742229102994	6.050555874384401	4.132021834585664
SNI_Sal_2	559092	460092	5018	91125	91506	86350	2267	2889	82.29271747762444	0.8975267040129353	16.29874868536842	94.36539680458112	2.477433173780954	3.1571700216379255
SNI_Sal_3	4135640	4031424	50058	52195	167151	143753	12418	10980	97.48005145515567	1.210405160990802	1.2620779371512025	86.00187854095998	7.429210713666086	6.568910745373943
SNI_Sal_4	1436379	1345613	15102	69173	129414	119229	5697	4488	93.6809156914714	1.0513938173699282	4.815790261483912	92.12990866521396	4.402151235569567	3.4679400992164684
SNI_oxy_1	6153301	6008326	76535	66003	182457	153710	17237	11510	97.64394753320211	1.2438039354811345	1.0726437728302256	84.24450692491929	9.447157412431423	6.308335662649283
SNI_oxy_2	7157901	6998397	88673	66905	193796	158932	20915	13949	97.77163724393506	1.2388128866269594	0.9347013880186386	82.00994860575037	10.792276414373877	7.197774979875746
SNI_oxy_3	2676637	2620479	31220	24174	152346	136095	9757	6494	97.90191946087572	1.1663890172630804	0.9031482416181201	89.33283446890631	6.404500282252242	4.262665248841453
SNI_oxy_4	3347165	3264455	40751	40127	162031	141753	11050	9228	97.52895360700772	1.2174780747289125	1.1988354323733665	87.48511087384513	6.819682653319427	5.695206472835445
Sham_Sal_1	1778882	1731433	20868	25385	140450	127846	6664	5940	97.33265050745355	1.1730963605230702	1.4270198922694142	91.0259878960484	4.7447490210039165	4.229263082947668
Sham_Sal_2	9490612	9298025	113306	74854	203955	164076	24593	15286	97.97076310779536	1.193874536225904	0.7887162598154892	80.44715746120468	12.058052021279202	7.494790517516119
Sham_Sal_3	5811440	5689690	67933	50680	183759	155343	17421	10995	97.90499428713021	1.1689529617444212	0.8720730146056742	84.5362676113823	9.480351982760029	5.983380405857672
Sham_Sal_4	3547709	3443882	40839	60339	160187	141687	11344	7156	97.0734070917316	1.151137255056714	1.7007877478113342	88.4509978962088	7.081723235967963	4.467278867823231
Sham_oxy_1	1083149	1052204	11961	18268	118086	109452	4166	4468	97.14305234090601	1.1042802052164569	1.6865638984110218	92.68837965550532	3.527937266060329	3.783683078434361
Sham_oxy_2	4816298	4706577	57279	50437	175308	149208	15163	10937	97.72188099656624	1.189274417820492	1.0472151017233569	85.11191731124649	8.649348575079289	6.238734113674219
Sham_oxy_3	3788324	3684743	42762	57486	165347	144753	12553	8041	97.26578296893297	1.128784127228822	1.5174520447564674	87.54498116083145	7.591912765275451	4.863106073893086
Sham_oxy_4	3272908	3199457	38139	33743	158501	139973	10602	7926	97.75578781927264	1.1652939832100382	1.0309791781498288	88.31048384552778	6.688916789168522	5.000599365303689
