Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
SNI_Sal_1	11045510	13930549	13445264	74244259	7282580	98.09	4624675	187425	40.53	24606306	1806159	73.4	1007265330	3867222	3.84	30156312	22865	0.76	0.37	0.3	31556701	68131	2.16	1.33	0.92	485285	52.27776737298724	1.3454243619544357	12.96545455602647	27.76072931511888	0.16413567046065447	0.3661664734103444	0.5365402325493417	0.4890762022372557	1.3219148793059052	1.6304813256103545	3.4836028357532784	111645395	107505217	23734	28144	108148470	106598443	42985	116019
SNI_Sal_2	3811558	4603409	4208905	74244259	2127284	28.65	4624675	30395	6.57	24606306	463438	18.83	1007265330	1313710	1.3	30156312	5134	0.17	0.09	0.1	31556701	23932	0.76	1.58	1.01	394504	46.21105793554299	0.66027155093106	10.067278401723593	28.537764078751206	0.11152604515479725	0.263869667022852	0.556826473598153	0.5198755965416064	4.746743120152913	5.396978630401947	8.569822929051057	111645395	107505217	13486	7013	108148470	106598443	29933	194580
SNI_Sal_3	30423568	35009733	33233004	74244259	12338597	166.19	4624675	267609	57.87	24606306	3455629	140.44	1007265330	16296847	16.18	30156312	48590	1.61	1.08	0.99	31556701	161270	5.11	3.47	2.55	1776729	35.243333618111286	0.7643845784256624	9.870480874561368	46.54947525592383	0.1387899759189823	0.42485613929132227	0.7041356185149998	0.46064333024190735	1.3696048467436184	1.7932327561595514	5.074957298303303	111645395	107505217	97775	100151	108148470	106598443	148311	318225
SNI_Sal_4	8085243	9895053	9259910	74244259	5094365	68.62	4624675	82967	17.94	24606306	1005513	40.86	1007265330	2706964	2.69	30156312	10706	0.36	0.19	0.18	31556701	39949	1.27	2.02	1.32	635143	51.4839587013834	0.8384694857116984	10.16177477776016	27.35674078754303	0.10819547909445255	0.2600996679856086	0.4652728994983655	0.40372699368057957	2.8241991225312284	3.2749900379512873	6.418793310152053	111645395	107505217	20302	15031	108148470	106598443	44606	239507
SNI_oxy_1	27080617	33639204	32478431	74244259	16736728	225.43	4624675	410165	88.69	24606306	4183911	170.03	1007265330	10407757	10.33	30156312	54398	1.8	0.92	0.75	31556701	163629	5.19	3.24	2.24	1160773	49.75363864138997	1.219306497264323	12.437604052699939	30.939367649722033	0.16171012845607166	0.37826697682858373	0.5574804921067693	0.4864235194150254	1.3287086103464278	1.6419472945911562	3.450655372225811	111645395	107505217	60286	72848	108148470	106598443	105371	283338
SNI_oxy_2	31078883	38753576	37334902	74244259	18303222	246.53	4624675	382564	82.72	24606306	4930073	200.36	1007265330	12871662	12.78	30156312	51436	1.71	0.99	0.83	31556701	188564	5.98	3.69	2.6	1418674	47.22976274499158	0.987170835537861	12.721595034223423	33.21412712984216	0.1327258160640453	0.35298936025929584	0.5365956421673189	0.4865718714577462	1.3172255381026	1.6499922484572778	3.660756364780375	111645395	107505217	71154	85360	108148470	106598443	128959	321908
SNI_oxy_3	10231896	13089191	12634663	74244259	6978580	93.99	4624675	168658	36.47	24606306	1727442	70.2	1007265330	3481318	3.46	30156312	20573	0.68	0.34	0.28	31556701	62512	1.98	1.23	0.85	454528	53.31559452375628	1.288528832683395	13.197469576232788	26.59689204626932	0.15717548930258562	0.36183290472268304	0.5317593730582738	0.47758490192403796	1.3000421492818004	1.597211011742437	3.4725446362575045	111645395	107505217	22242	26788	108148470	106598443	38897	107653
SNI_oxy_4	22757309	26452303	25157225	74244259	9763611	131.51	4624675	214280	46.33	24606306	2641481	107.35	1007265330	11874592	11.79	30156312	35797	1.19	0.78	0.71	31556701	122462	3.88	2.74	1.98	1295078	36.91024936467724	0.8100617931073903	9.985826186854126	44.8905790924896	0.1353265914124755	0.4051065043372594	0.66565092649967	0.4629540195422682	1.4308054765590732	1.8417337802307798	4.895898856141184	111645395	107505217	68920	71363	108148470	106598443	108700	256019
Sham_Sal_1	11247847	13219872	12594082	74244259	5389114	72.59	4624675	133768	28.92	24606306	1366003	55.51	1007265330	5369967	5.33	30156312	23378	0.78	0.44	0.38	31556701	61644	1.95	1.36	0.98	625790	40.765250979737175	1.0118706141784126	10.332951786522592	40.62041599192489	0.17683983627072938	0.4543765627987926	0.7128888993781484	0.46629800954199857	1.4244767271574188	1.8229147755742265	4.733706952684565	111645395	107505217	34175	36690	108148470	106598443	52673	126670
Sham_Sal_2	32152797	42197576	41042859	74244259	24275452	326.97	4624675	554944	120.0	24606306	6357397	258.36	1007265330	8966080	8.9	30156312	63747	2.11	1.04	0.81	31556701	217835	6.9	4.14	2.79	1154717	57.52807222860385	1.3151087161973476	15.065787191188424	21.247855564025762	0.15106791916199167	0.33935835556051847	0.4805749979572286	0.5162263348965827	1.354947497458148	1.6261479095386902	2.736453392488706	111645395	107505217	59590	79454	108148470	106598443	114440	353920
