Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
SNI_Sal_1	SNI_Sal_1.markdup.sorted.bam	20960765.0	49608819.0	11376103.0	21113500.0	172143.0	0.0	1.07	21113500.0	14537115.0	2409958.0	1065296.0
SNI_Sal_2	SNI_Sal_2.markdup.sorted.bam	15794908.0	39645781.0	12742466.0	6313197.0	6536243.0	0.0	1.01	6313197.0	8258712.0	5795163.0	1470121.0
SNI_Sal_3	SNI_Sal_3.markdup.sorted.bam	19748884.0	44541671.0	7333582.0	13630404.0	116504.0	0.0	0.97	13630404.0	20405036.0	3056145.0	794649.0
SNI_Sal_4	SNI_Sal_4.markdup.sorted.bam	21723819.0	56331671.0	20444322.0	11380734.0	7234076.0	0.0	1.05	11380734.0	10263882.0	7008657.0	3230320.0
SNI_oxy_1	SNI_oxy_1.markdup.sorted.bam	19906540.0	48861195.0	14225674.0	18230352.0	150998.0	0.0	1.01	18230352.0	13775236.0	2478935.0	1031631.0
SNI_oxy_2	SNI_oxy_2.markdup.sorted.bam	21053970.0	48340551.0	9828223.0	18922365.0	139191.0	0.0	1.04	18922365.0	16835861.0	2614911.0	1176961.0
SNI_oxy_3	SNI_oxy_3.markdup.sorted.bam	18103867.0	42559335.0	10323257.0	17963124.0	137383.0	0.0	1.01	17963124.0	12047988.0	2087583.0	1014812.0
SNI_oxy_4	SNI_oxy_4.markdup.sorted.bam	20359419.0	45783702.0	7511401.0	14402353.0	113674.0	0.0	0.93	14402353.0	20639429.0	3116845.0	932563.0
Sham_Sal_1	Sham_Sal_1.markdup.sorted.bam	15790798.0	36769370.0	7794380.0	11833484.0	109307.0	0.0	1.01	11833484.0	14771157.0	2261042.0	708532.0
Sham_Sal_2	Sham_Sal_2.markdup.sorted.bam	23316057.0	54243547.0	12393470.0	26640707.0	191644.0	0.0	1.03	26640707.0	12556091.0	2461635.0	1410950.0
Sham_Sal_3	Sham_Sal_3.markdup.sorted.bam	24932862.0	58327812.0	13826725.0	26645294.0	212981.0	0.0	1.03	26645294.0	14947741.0	2695071.0	1517638.0
Sham_Sal_4	Sham_Sal_4.markdup.sorted.bam	21006313.0	50208339.0	13015435.0	19781924.0	1621077.0	0.0	1.05	19781924.0	11472821.0	4317082.0	1353221.0
Sham_oxy_1	Sham_oxy_1.markdup.sorted.bam	7345118.0	17233196.0	3641843.0	4772893.0	72793.0	0.0	0.83	4772893.0	7427404.0	1318263.0	285313.0
Sham_oxy_2	Sham_oxy_2.markdup.sorted.bam	19067405.0	41797800.0	5541479.0	14292018.0	104120.0	0.0	0.99	14292018.0	19157569.0	2702614.0	925275.0
Sham_oxy_3	Sham_oxy_3.markdup.sorted.bam	19620926.0	45293541.0	9512996.0	12614100.0	79509.0	0.0	0.98	12614100.0	14995955.0	8090981.0	1678327.0
Sham_oxy_4	Sham_oxy_4.markdup.sorted.bam	19360745.0	45167749.0	9774560.0	17234110.0	146390.0	0.0	1.03	17234110.0	15545590.0	2467099.0	964197.0
