Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
SNI_Sal_1_1 - Adapter 1	3164936	1046380	448872	223194	182081	176097	178644	171416	171820	192858	187957	193152	197571	198212	200061	198420	200763	207871	196212	198887	200584	212329	206609	210098	209932	206713	202376	207360	199680	201862	203417	219061	212769	207510	197499	189820	184345	176386	174736	170889	168237	167974	162845	150244	190728	106294	126356	129077	124138	116892	115073	107249	102114	96743	95089	84269	80055	74760	65434	58841	52738	49482	49150	45003	38949	39603	33278	29857	27515	26033	31379	112672	23700	7767	3963	2877	2441	2031	1795	1620	1366	1319	1141	930	825	766	619	550	473	450	380	327	266	288	222	200	180	161	138	124	132	94	83	65	59	68	63	42	53	64	45	26	29	52	29	23	27	12	20	25	14	31	37	28	25	17	23	25	31	29	26	13	5	6	13	11	13	35	4	13	8	13	12	17	29	31	37	65	93	1204
SNI_Sal_1_2 - Adapter 1	3231151	1087430	453188	216111	177489	178073	167586	160335	166735	184862	180957	187460	203078	238657	169227	205348	190770	160062	192831	177522	180167	197585	211705	230785	187353	196686	188730	212629	185307	244629	154259	223417	191745	189476	193140	179487	184700	170428	164091	160242	158898	158729	150326	148542	146922	143222	136188	126364	123779	116821	111474	103880	108324	98014	85002	90626	80283	71844	61564	63952	51063	45275	53785	31348	36993	33454	32731	29016	26095	23229	20897	19704	17913	16764	22655	77542	11225	2994	1600	1439	1245	1145	951	878	803	748	633	566	485	446	384	318	288	278	228	204	184	134	139	141	132	91	102	95	76	68	69	59	54	63	62	41	38	49	35	37	39	33	24	27	18	26	28	41	36	34	32	32	38	22	38	25	14	13	16	20	13	13	8	10	41	6	8	9	14	9	30	27	48	997
SNI_Sal_2_1 - Adapter 1	3663934	1012798	309911	138474	117335	113508	121548	117317	114156	139749	136769	145672	144127	129801	134578	130805	132033	148521	127310	138272	131997	138845	142008	136510	139376	137727	134968	140505	132213	132603	128263	133181	132697	142162	135969	138605	139009	144422	126755	132610	129646	137034	136584	130303	173014	88420	111568	128828	124889	118607	118558	124745	119804	117566	125654	116049	122949	122164	111212	107480	102900	103453	111166	106253	95410	108590	98802	94959	97244	100534	154384	893812	213644	63670	27131	18648	17636	14206	13189	12269	11723	11764	10612	9666	9063	9016	8025	7306	7124	6066	5578	4980	4622	4058	3536	3210	2805	2790	2608	2454	2008	1745	1390	1157	924	842	801	748	694	674	570	449	415	297	295	273	307	185	202	206	184	158	167	106	83	102	64	105	73	87	44	58	44	67	45	88	40	49	27	37	54	41	58	82	131	120	176	456	607	7554
SNI_Sal_2_2 - Adapter 1	3359985	866509	314036	127767	130911	116975	121229	107032	103414	134870	123194	134339	145938	172341	102269	132849	129510	95453	127510	113809	109820	126978	140442	160522	116129	124585	118700	145706	114380	168763	84708	136173	115206	124892	126188	119503	142155	128619	121762	122513	122085	128809	121072	126747	124450	126225	124236	122626	122945	119423	112922	120085	129343	125801	106138	128395	126762	115539	102742	119690	101510	96121	128039	67506	87441	84388	95931	89053	87778	81807	80292	80343	86058	95840	146668	762682	126367	29153	13891	11767	10868	10257	8826	9080	8299	8839	7810	6704	6400	5618	4913	4465	4337	3733	3323	3167	2681	2290	2306	2073	2030	1599	1358	1111	864	831	836	795	751	663	606	442	383	304	293	244	267	206	181	190	163	159	148	121	87	113	82	80	48	86	68	58	40	60	35	77	20	30	21	27	22	17	17	19	43	49	82	212	238	6094
SNI_Sal_3_1 - Adapter 1	2418970	773893	334633	168525	141622	135211	138397	133738	132602	156078	151248	157721	160934	162812	165434	165726	170659	174499	170242	172220	175023	181763	182764	186667	187896	188358	186430	191708	186196	191184	185819	192232	195069	212146	206730	208666	216298	211398	210344	214020	223742	235291	271039	197432	308839	158954	222470	241288	248213	237476	247148	253308	241111	244968	261111	236801	256047	260688	249080	236145	225171	217643	238698	236117	221134	260963	241152	231030	229130	254378	316071	2249731	564094	166077	70390	46036	42774	35972	32221	31935	32495	31078	28569	25297	23400	22819	20341	19970	18808	15973	14703	12617	11550	10479	9087	8702	8002	7102	6641	5545	4850	4151	3523	2781	2344	2242	1941	1870	1780	1516	1290	1007	922	760	593	624	689	554	444	455	397	328	312	192	122	140	135	154	101	103	58	68	49	57	62	58	27	44	24	23	20	16	23	23	18	29	46	54	113	1365
SNI_Sal_3_2 - Adapter 1	2444244	798102	337473	165013	142259	139030	130815	122800	127238	149408	144208	150996	169410	211615	134153	175371	160686	125711	161781	146528	147285	166534	184379	216357	160354	173088	166517	196721	165569	240850	130079	193063	174158	182852	199125	192788	218815	198847	191200	193582	198632	216487	202875	217232	225992	233302	244979	230185	244028	242965	234551	245452	267048	262268	220057	268821	268953	246520	231757	263358	221178	204313	278647	145438	198267	197157	235295	214772	207109	209428	207314	217319	221706	241461	311910	1879241	305863	68916	33584	29683	28920	26557	23537	23948	21850	22325	19421	18661	16924	14602	13297	11188	10774	9609	8336	8264	7230	5930	5708	4925	4676	3852	3210	2600	2182	2234	1950	1942	1918	1506	1174	938	837	642	584	526	565	490	421	364	321	264	234	172	119	141	113	123	84	96	54	49	48	50	37	60	21	30	18	8	14	19	6	10	16	16	23	25	49	1072
SNI_Sal_4_1 - Adapter 1	3327266	1098159	389812	152098	130870	131416	126683	120315	124288	126422	120683	122125	121590	123161	133628	130708	129476	129410	122202	123456	133170	119555	127561	115877	115015	122693	118626	121682	125610	126323	124914	127939	134476	128012	117368	112904	125044	111308	118536	123783	126068	116917	118020	113385	157808	85436	101940	108186	112946	114042	117344	114792	115835	119399	131228	111833	105524	114852	120361	105684	102712	104901	108033	106766	104900	117463	95459	95867	101834	108875	148140	930196	218815	65520	29475	19390	17096	15337	14445	12833	12971	12938	11365	10520	10081	9810	9265	8493	7722	7320	6185	5162	4406	3740	3284	3078	2735	2495	2207	1830	1582	1304	971	764	612	553	474	485	430	306	267	216	188	169	126	127	109	80	67	57	56	49	44	36	28	37	37	24	26	23	34	40	22	24	19	26	11	18	22	14	17	22	13	27	39	33	50	67	227	2520
SNI_Sal_4_2 - Adapter 1	3015499	1107378	383342	160820	123898	132174	124912	114012	119735	124054	116335	120698	125511	161556	109924	135731	129870	92162	126119	109123	119965	114390	130628	135751	102564	117978	110391	127549	116107	160248	91528	133478	122329	116628	113092	106718	129635	109543	113030	118386	117111	115859	107160	112646	120643	118343	112801	107999	114146	116198	115184	113206	124521	126159	116482	122599	111932	113423	116109	118215	104185	98991	124009	74729	101397	97172	94572	92049	94171	91543	93738	102431	98445	101045	133181	808125	122693	27450	13922	11760	11499	10749	9671	9867	9184	10117	9551	8219	7093	6878	5892	4788	4104	3532	3002	3014	2521	2240	1890	1726	1590	1251	926	679	665	612	550	551	460	352	281	231	192	146	130	113	101	85	80	73	56	53	48	27	30	34	39	18	27	28	23	33	19	16	15	19	14	14	5	4	8	4	5	2	20	7	20	18	80	2015
SNI_oxy_1_1 - Adapter 1	3245795	943743	372644	188400	160841	152242	150764	146089	146406	157688	153207	160318	161730	164593	162866	164701	162802	173158	148071	155587	153390	161061	163464	166902	169112	171602	166710	162996	155409	156227	155940	158018	164811	165930	164087	168224	156836	161742	141444	145579	145080	154066	153312	146481	197248	103201	130040	141095	136452	135513	135683	135830	135075	133902	138909	127966	128842	125598	117503	110974	104492	102742	111203	105586	99076	111181	98776	96759	96575	103451	189113	801942	186004	57246	25876	18725	16232	13506	12435	11508	11084	10058	9572	9052	8446	7916	7225	6895	6277	5513	4691	4013	3640	3216	2875	2691	2396	2170	2037	1780	1571	1271	968	758	678	591	605	498	471	400	334	284	227	196	193	158	166	136	138	91	117	89	92	77	80	66	61	53	56	59	53	70	44	61	54	84	60	58	72	73	66	80	99	100	177	203	313	443	1269	16175
SNI_oxy_1_2 - Adapter 1	3334559	961809	372887	175152	153752	153714	146027	133130	133523	150654	141839	149738	168001	199410	134141	168378	145595	127206	147901	137811	134692	151977	165008	179859	148037	158889	152091	163909	142560	178568	124798	157787	145258	164087	149891	153108	147452	150485	141422	135033	141231	153790	135570	142945	146998	143039	146554	134557	134478	139715	128759	131836	148178	143256	117958	142761	133907	118654	110815	123661	103648	95350	129294	66022	90346	85895	95993	89909	89615	84845	85281	82887	82944	97428	182316	646512	106017	26580	13569	11299	10400	9180	8388	8534	8048	7920	6888	6659	5678	5059	4343	3557	3411	2970	2619	2475	2213	1865	1728	1530	1474	1143	941	723	639	602	536	505	465	415	332	244	182	163	155	134	127	111	105	82	73	74	65	49	50	42	33	35	30	33	28	26	19	16	16	20	22	21	11	11	21	22	14	23	34	47	83	90	526	13139
