Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
SNI_Sal_1_1 - Adapter 1	0.548629509639416	0.7255438545351067	1.244963946768023	2.4761475788128373	8.080135259869355	31.25834280034081	126.84180630502698	486.8389662027833	1952.5	8766.272727272728	34174.0	137965.7142857143	658570.0	660706.6666666667	666870.0	661400.0	669210.0	692903.3333333334	654040.0	662956.6666666667	668613.3333333334	707763.3333333334	688696.6666666667	700326.6666666667	699773.3333333334	689043.3333333334	674586.6666666667	691200.0	665600.0	672873.3333333334	678056.6666666667	730203.3333333334	709230.0	691700.0	658330.0	632733.3333333334	614483.3333333334	587953.3333333334	582453.3333333334	569630.0	560790.0	559913.3333333334	542816.6666666667	500813.3333333334	635760.0	354313.3333333334	421186.6666666667	430256.6666666667	413793.3333333334	389640.0	383576.6666666667	357496.6666666667	340380.0	322476.6666666667	316963.3333333334	280896.6666666667	266850.0	249200.0	218113.33333333334	196136.6666666667	175793.33333333334	164940.0	163833.33333333334	150010.0	129830.0	132010.0	110926.66666666667	99523.33333333334	91716.66666666667	86776.66666666667	104596.66666666667	375573.3333333334	79000.0	25890.0	13210.0	9590.0	8136.666666666667	6770.0	5983.333333333334	5400.0	4553.333333333334	4396.666666666667	3803.3333333333335	3100.0	2750.0	2553.3333333333335	2063.3333333333335	1833.3333333333335	1576.6666666666667	1500.0	1266.6666666666667	1090.0	886.6666666666667	960.0	740.0	666.6666666666667	600.0	536.6666666666667	460.0	413.33333333333337	440.0	313.33333333333337	276.6666666666667	216.66666666666669	196.66666666666669	226.66666666666669	210.0	140.0	176.66666666666669	213.33333333333334	150.0	86.66666666666667	96.66666666666667	173.33333333333334	96.66666666666667	76.66666666666667	90.0	40.0	66.66666666666667	83.33333333333334	46.66666666666667	103.33333333333334	123.33333333333334	93.33333333333334	83.33333333333334	56.66666666666667	76.66666666666667	83.33333333333334	103.33333333333334	96.66666666666667	86.66666666666667	43.333333333333336	16.666666666666668	20.0	43.333333333333336	36.66666666666667	43.333333333333336	116.66666666666667	13.333333333333334	43.333333333333336	26.666666666666668	43.333333333333336	40.0	56.66666666666667	96.66666666666667	103.33333333333334	123.33333333333334	216.66666666666669	310.0	4013.3333333333335
SNI_Sal_1_2 - Adapter 1	0.5601076257785019	0.7540072953775026	1.2569345405993395	2.3975677186878728	7.8763579238852595	31.609095427435385	118.99034365237148	455.36779324055664	1894.715909090909	8402.818181818182	32901.27272727273	133900.0	676926.6666666667	795523.3333333334	564090.0	684493.3333333334	635900.0	533540.0	642770.0	591740.0	600556.6666666667	658616.6666666667	705683.3333333334	769283.3333333334	624510.0	655620.0	629100.0	708763.3333333334	617690.0	815430.0	514196.6666666667	744723.3333333334	639150.0	631586.6666666667	643800.0	598290.0	615666.6666666667	568093.3333333334	546970.0	534140.0	529660.0	529096.6666666667	501086.6666666667	495140.0	489740.0	477406.6666666667	453960.0	421213.3333333334	412596.6666666667	389403.3333333334	371580.0	346266.6666666667	361080.0	326713.3333333334	283340.0	302086.6666666667	267610.0	239480.0	205213.33333333334	213173.33333333334	170210.0	150916.6666666667	179283.33333333334	104493.33333333334	123310.0	111513.33333333334	109103.33333333334	96720.0	86983.33333333334	77430.0	69656.66666666667	65680.0	59710.0	55880.0	75516.66666666667	258473.33333333334	37416.66666666667	9980.0	5333.333333333334	4796.666666666667	4150.0	3816.666666666667	3170.0	2926.666666666667	2676.666666666667	2493.3333333333335	2110.0	1886.6666666666667	1616.6666666666667	1486.6666666666667	1280.0	1060.0	960.0	926.6666666666667	760.0	680.0	613.3333333333334	446.6666666666667	463.33333333333337	470.0	440.0	303.33333333333337	340.0	316.6666666666667	253.33333333333334	226.66666666666669	230.0	196.66666666666669	180.0	210.0	206.66666666666669	136.66666666666669	126.66666666666667	163.33333333333334	116.66666666666667	123.33333333333334	130.0	110.0	80.0	90.0	60.0	86.66666666666667	93.33333333333334	136.66666666666669	120.0	113.33333333333334	106.66666666666667	106.66666666666667	126.66666666666667	73.33333333333334	126.66666666666667	83.33333333333334	46.66666666666667	43.333333333333336	53.333333333333336	66.66666666666667	43.333333333333336	43.333333333333336	26.666666666666668	33.333333333333336	136.66666666666669	20.0	26.666666666666668	30.0	46.66666666666667	30.0	100.0	90.0	160.0	3323.3333333333335
SNI_Sal_2_1 - Adapter 1	0.5959725130703973	0.6589636046161117	0.8065578975585508	1.4415410416647148	4.88592498823647	18.906341089661375	80.98340995402758	312.67857142857144	1217.0149253731345	5946.765957446809	23181.186440677964	97114.66666666667	360317.5	324502.5	336445.0	327012.5	330082.5	371302.5	318275.0	345680.0	329992.5	347112.5	355020.0	341275.0	348440.0	344317.5	337420.0	351262.5	330532.5	331507.5	320657.5	332952.5	331742.5	355405.0	339922.5	346512.5	347522.5	361055.0	316887.5	331525.0	324115.0	342585.0	341460.0	325757.5	432535.0	221050.0	278920.0	322070.0	312222.5	296517.5	296395.0	311862.5	299510.0	293915.0	314135.0	290122.5	307372.5	305410.0	278030.0	268700.0	257250.0	258632.5	277915.0	265632.5	238525.0	271475.0	247005.0	237397.5	243110.0	251335.0	385960.0	2234530.0	534110.0	159175.0	67827.5	46620.0	44090.0	35515.0	32972.5	30672.5	29307.5	29410.0	26530.0	24165.0	22657.5	22540.0	20062.5	18265.0	17810.0	15165.0	13945.0	12450.0	11555.0	10145.0	8840.0	8025.0	7012.5	6975.0	6520.0	6135.0	5020.0	4362.5	3475.0	2892.5	2310.0	2105.0	2002.5	1870.0	1735.0	1685.0	1425.0	1122.5	1037.5	742.5	737.5	682.5	767.5	462.5	505.0	515.0	460.0	395.0	417.5	265.0	207.5	255.0	160.0	262.5	182.5	217.5	110.0	145.0	110.0	167.5	112.5	220.0	100.0	122.5	67.5	92.5	135.0	102.5	145.0	205.0	327.5	300.0	440.0	1140.0	1517.5	18885.0
SNI_Sal_2_2 - Adapter 1	0.5465324168854677	0.5637826043024396	0.8172934033244933	1.3300791070553	5.451240688072821	19.48381831204091	80.77087081084682	285.26652452025587	1102.4946695095948	5739.148936170212	20880.338983050846	89559.33333333333	364845.0	430852.5	255672.5	332122.5	323775.0	238632.5	318775.0	284522.5	274550.0	317445.0	351105.0	401305.0	290322.5	311462.5	296750.0	364265.0	285950.0	421907.5	211770.0	340432.5	288015.0	312230.0	315470.0	298757.5	355387.5	321547.5	304405.0	306282.5	305212.5	322022.5	302680.0	316867.5	311125.0	315562.5	310590.0	306565.0	307362.5	298557.5	282305.0	300212.5	323357.5	314502.5	265345.0	320987.5	316905.0	288847.5	256855.0	299225.0	253775.0	240302.5	320097.5	168765.0	218602.5	210970.0	239827.5	222632.5	219445.0	204517.5	200730.0	200857.5	215145.0	239600.0	366670.0	1906705.0	315917.5	72882.5	34727.5	29417.5	27170.0	25642.5	22065.0	22700.0	20747.5	22097.5	19525.0	16760.0	16000.0	14045.0	12282.5	11162.5	10842.5	9332.5	8307.5	7917.5	6702.5	5725.0	5765.0	5182.5	5075.0	3997.5	3395.0	2777.5	2160.0	2077.5	2090.0	1987.5	1877.5	1657.5	1515.0	1105.0	957.5	760.0	732.5	610.0	667.5	515.0	452.5	475.0	407.5	397.5	370.0	302.5	217.5	282.5	205.0	200.0	120.0	215.0	170.0	145.0	100.0	150.0	87.5	192.5	50.0	75.0	52.5	67.5	55.0	42.5	42.5	47.5	107.5	122.5	205.0	530.0	595.0	15235.0
SNI_Sal_3_1 - Adapter 1	0.3584021378159986	0.4586495998558669	0.7932842522290843	1.598028031986163	5.371692996263915	20.514178210010467	83.98895497026338	324.6856033017723	1287.3980582524273	6073.07392996109	23632.5	98575.625	402335.0	407030.0	413585.0	414315.0	426647.5	436247.5	425605.0	430550.0	437557.5	454407.5	456910.0	466667.5	469740.0	470895.0	466075.0	479270.0	465490.0	477960.0	464547.5	480580.0	487672.5	530365.0	516825.0	521665.0	540745.0	528495.0	525860.0	535050.0	559355.0	588227.5	677597.5	493580.0	772097.5	397385.0	556175.0	603220.0	620532.5	593690.0	617870.0	633270.0	602777.5	612420.0	652777.5	592002.5	640117.5	651720.0	622700.0	590362.5	562927.5	544107.5	596745.0	590292.5	552835.0	652407.5	602880.0	577575.0	572825.0	635945.0	790177.5	5624327.5	1410235.0	415192.5	175975.0	115090.0	106935.0	89930.0	80552.5	79837.5	81237.5	77695.0	71422.5	63242.5	58500.0	57047.5	50852.5	49925.0	47020.0	39932.5	36757.5	31542.5	28875.0	26197.5	22717.5	21755.0	20005.0	17755.0	16602.5	13862.5	12125.0	10377.5	8807.5	6952.5	5860.0	5605.0	4852.5	4675.0	4450.0	3790.0	3225.0	2517.5	2305.0	1900.0	1482.5	1560.0	1722.5	1385.0	1110.0	1137.5	992.5	820.0	780.0	480.0	305.0	350.0	337.5	385.0	252.5	257.5	145.0	170.0	122.5	142.5	155.0	145.0	67.5	110.0	60.0	57.5	50.0	40.0	57.5	57.5	45.0	72.5	115.0	135.0	282.5	3412.5
SNI_Sal_3_2 - Adapter 1	0.3621468124631259	0.472997123561225	0.8000167839170248	1.5647257062283504	5.3958542737393085	21.09359590963572	79.38766840635999	298.13061422675406	1235.3203883495146	5813.540856031129	22532.5	94372.5	423525.0	529037.5	335382.5	438427.5	401715.0	314277.5	404452.5	366320.0	368212.5	416335.0	460947.5	540892.5	400885.0	432720.0	416292.5	491802.5	413922.5	602125.0	325197.5	482657.5	435395.0	457130.0	497812.5	481970.0	547037.5	497117.5	478000.0	483955.0	496580.0	541217.5	507187.5	543080.0	564980.0	583255.0	612447.5	575462.5	610070.0	607412.5	586377.5	613630.0	667620.0	655670.0	550142.5	672052.5	672382.5	616300.0	579392.5	658395.0	552945.0	510782.5	696617.5	363595.0	495667.5	492892.5	588237.5	536930.0	517772.5	523570.0	518285.0	543297.5	554265.0	603652.5	779775.0	4698102.5	764657.5	172290.0	83960.0	74207.5	72300.0	66392.5	58842.5	59870.0	54625.0	55812.5	48552.5	46652.5	42310.0	36505.0	33242.5	27970.0	26935.0	24022.5	20840.0	20660.0	18075.0	14825.0	14270.0	12312.5	11690.0	9630.0	8025.0	6500.0	5455.0	5585.0	4875.0	4855.0	4795.0	3765.0	2935.0	2345.0	2092.5	1605.0	1460.0	1315.0	1412.5	1225.0	1052.5	910.0	802.5	660.0	585.0	430.0	297.5	352.5	282.5	307.5	210.0	240.0	135.0	122.5	120.0	125.0	92.5	150.0	52.5	75.0	45.0	20.0	35.0	47.5	15.0	25.0	40.0	40.0	57.5	62.5	122.5	2680.0
SNI_Sal_4_1 - Adapter 1	0.5048642597274193	0.6665186942349383	0.9463728064819444	1.4770338129629144	5.0835540984625425	20.418893722809198	78.73399627097577	299.1422178020885	1235.4671968190855	5036.733067729084	19156.031746031746	76328.125	303975.0	307902.5	334070.0	326770.0	323690.0	323525.0	305505.0	308640.0	332925.0	298887.5	318902.5	289692.5	287537.5	306732.5	296565.0	304205.0	314025.0	315807.5	312285.0	319847.5	336190.0	320030.0	293420.0	282260.0	312610.0	278270.0	296340.0	309457.5	315170.0	292292.5	295050.0	283462.5	394520.0	213590.0	254850.0	270465.0	282365.0	285105.0	293360.0	286980.0	289587.5	298497.5	328070.0	279582.5	263810.0	287130.0	300902.5	264210.0	256780.0	262252.5	270082.5	266915.0	262250.0	293657.5	238647.5	239667.5	254585.0	272187.5	370350.0	2325490.0	547037.5	163800.0	73687.5	48475.0	42740.0	38342.5	36112.5	32082.5	32427.5	32345.0	28412.5	26300.0	25202.5	24525.0	23162.5	21232.5	19305.0	18300.0	15462.5	12905.0	11015.0	9350.0	8210.0	7695.0	6837.5	6237.5	5517.5	4575.0	3955.0	3260.0	2427.5	1910.0	1530.0	1382.5	1185.0	1212.5	1075.0	765.0	667.5	540.0	470.0	422.5	315.0	317.5	272.5	200.0	167.5	142.5	140.0	122.5	110.0	90.0	70.0	92.5	92.5	60.0	65.0	57.5	85.0	100.0	55.0	60.0	47.5	65.0	27.5	45.0	55.0	35.0	42.5	55.0	32.5	67.5	97.5	82.5	125.0	167.5	567.5	6300.0
SNI_Sal_4_2 - Adapter 1	0.4575581484449315	0.6721140914790094	0.9306651523873085	1.5617337361483772	4.812731609164149	20.536668738346798	77.63331261653201	283.47090999502734	1190.2087475149106	4942.390438247012	18465.873015873018	75436.25	313777.5	403890.0	274810.0	339327.5	324675.0	230405.0	315297.5	272807.5	299912.5	285975.0	326570.0	339377.5	256410.0	294945.0	275977.5	318872.5	290267.5	400620.0	228820.0	333695.0	305822.5	291570.0	282730.0	266795.0	324087.5	273857.5	282575.0	295965.0	292777.5	289647.5	267900.0	281615.0	301607.5	295857.5	282002.5	269997.5	285365.0	290495.0	287960.0	283015.0	311302.5	315397.5	291205.0	306497.5	279830.0	283557.5	290272.5	295537.5	260462.5	247477.5	310022.5	186822.5	253492.5	242930.0	236430.0	230122.5	235427.5	228857.5	234345.0	256077.5	246112.5	252612.5	332952.5	2020312.5	306732.5	68625.0	34805.0	29400.0	28747.5	26872.5	24177.5	24667.5	22960.0	25292.5	23877.5	20547.5	17732.5	17195.0	14730.0	11970.0	10260.0	8830.0	7505.0	7535.0	6302.5	5600.0	4725.0	4315.0	3975.0	3127.5	2315.0	1697.5	1662.5	1530.0	1375.0	1377.5	1150.0	880.0	702.5	577.5	480.0	365.0	325.0	282.5	252.5	212.5	200.0	182.5	140.0	132.5	120.0	67.5	75.0	85.0	97.5	45.0	67.5	70.0	57.5	82.5	47.5	40.0	37.5	47.5	35.0	35.0	12.5	10.0	20.0	10.0	12.5	5.0	50.0	17.5	50.0	45.0	200.0	5037.5
SNI_oxy_1_1 - Adapter 1	0.5622219653244072	0.6538836403439395	1.0327635051280104	2.08856212918045	7.132195783853773	27.003795806875022	106.96275274920184	414.5544835414302	1661.8161180476732	7167.636363636364	27855.81818181818	114512.85714285714	539100.0	548643.3333333334	542886.6666666667	549003.3333333334	542673.3333333334	577193.3333333334	493570.0	518623.3333333334	511300.0	536870.0	544880.0	556340.0	563706.6666666667	572006.6666666667	555700.0	543320.0	518030.0	520756.6666666667	519800.0	526726.6666666667	549370.0	553100.0	546956.6666666667	560746.6666666667	522786.6666666667	539140.0	471480.0	485263.3333333334	483600.0	513553.3333333334	511040.0	488270.0	657493.3333333334	344003.3333333334	433466.6666666667	470316.6666666667	454840.0	451710.0	452276.6666666667	452766.6666666667	450250.0	446340.0	463030.0	426553.3333333334	429473.3333333334	418660.0	391676.6666666667	369913.3333333334	348306.6666666667	342473.3333333334	370676.6666666667	351953.3333333334	330253.3333333334	370603.3333333334	329253.3333333334	322530.0	321916.6666666667	344836.6666666667	630376.6666666667	2673140.0	620013.3333333334	190820.0	86253.33333333334	62416.66666666667	54106.66666666667	45020.0	41450.0	38360.0	36946.66666666667	33526.66666666667	31906.666666666668	30173.333333333336	28153.333333333336	26386.666666666668	24083.333333333336	22983.333333333336	20923.333333333336	18376.666666666668	15636.666666666668	13376.666666666668	12133.333333333334	10720.0	9583.333333333334	8970.0	7986.666666666667	7233.333333333334	6790.0	5933.333333333334	5236.666666666667	4236.666666666667	3226.666666666667	2526.666666666667	2260.0	1970.0	2016.6666666666667	1660.0	1570.0	1333.3333333333335	1113.3333333333335	946.6666666666667	756.6666666666667	653.3333333333334	643.3333333333334	526.6666666666667	553.3333333333334	453.33333333333337	460.0	303.33333333333337	390.0	296.6666666666667	306.6666666666667	256.6666666666667	266.6666666666667	220.0	203.33333333333334	176.66666666666669	186.66666666666669	196.66666666666669	176.66666666666669	233.33333333333334	146.66666666666669	203.33333333333334	180.0	280.0	200.0	193.33333333333334	240.0	243.33333333333334	220.0	266.6666666666667	330.0	333.33333333333337	590.0	676.6666666666667	1043.3333333333335	1476.6666666666667	4230.0	53916.66666666667
SNI_oxy_1_2 - Adapter 1	0.5775972649135851	0.6664008848124586	1.0334369670158876	1.94169763296292	6.817847228996869	27.264890560147574	103.60198652004257	377.7809307604995	1515.584562996595	6847.909090909091	25788.909090909092	106955.71428571429	560003.3333333334	664700.0	447136.6666666667	561260.0	485316.6666666667	424020.0	493003.3333333334	459370.0	448973.3333333334	506590.0	550026.6666666667	599530.0	493456.6666666667	529630.0	506970.0	546363.3333333334	475200.0	595226.6666666667	415993.3333333334	525956.6666666667	484193.3333333334	546956.6666666667	499636.6666666667	510360.0	491506.6666666667	501616.6666666667	471406.6666666667	450110.0	470770.0	512633.3333333334	451900.0	476483.3333333334	489993.3333333334	476796.6666666667	488513.3333333334	448523.3333333334	448260.0	465716.6666666667	429196.6666666667	439453.3333333334	493926.6666666667	477520.0	393193.3333333334	475870.0	446356.6666666667	395513.3333333334	369383.3333333334	412203.3333333334	345493.3333333334	317833.3333333334	430980.0	220073.33333333334	301153.3333333334	286316.6666666667	319976.6666666667	299696.6666666667	298716.6666666667	282816.6666666667	284270.0	276290.0	276480.0	324760.0	607720.0	2155040.0	353390.0	88600.0	45230.0	37663.333333333336	34666.66666666667	30600.0	27960.0	28446.666666666668	26826.666666666668	26400.0	22960.0	22196.666666666668	18926.666666666668	16863.333333333336	14476.666666666668	11856.666666666668	11370.0	9900.0	8730.0	8250.0	7376.666666666667	6216.666666666667	5760.0	5100.0	4913.333333333334	3810.0	3136.666666666667	2410.0	2130.0	2006.6666666666667	1786.6666666666667	1683.3333333333335	1550.0	1383.3333333333335	1106.6666666666667	813.3333333333334	606.6666666666667	543.3333333333334	516.6666666666667	446.6666666666667	423.33333333333337	370.0	350.0	273.33333333333337	243.33333333333334	246.66666666666669	216.66666666666669	163.33333333333334	166.66666666666669	140.0	110.0	116.66666666666667	100.0	110.0	93.33333333333334	86.66666666666667	63.333333333333336	53.333333333333336	53.333333333333336	66.66666666666667	73.33333333333334	70.0	36.66666666666667	36.66666666666667	70.0	73.33333333333334	46.66666666666667	76.66666666666667	113.33333333333334	156.66666666666669	276.6666666666667	300.0	1753.3333333333335	43796.66666666667
