Sample	Sense	Antisense	Undetermined
SNI_Sal_1	1.04	92.99	5.970000000000001
SNI_Sal_2	5.57	89.56	4.87
SNI_Sal_3	1.39	94.51	4.09
SNI_Sal_4	9.35	85.65	5.01
SNI_oxy_1	1.67	95.09	3.25
SNI_oxy_2	1.01	95.44	3.55
SNI_oxy_3	1.27	93.19	5.54
SNI_oxy_4	1.43	95.73	2.85
Sham_Sal_1	1.55	92.39	6.0600000000000005
Sham_Sal_2	1.02	95.50999999999999	3.47
Sham_Sal_3	1.06	91.66	7.2700000000000005
Sham_Sal_4	1.21	92.5	6.29
Sham_oxy_1	1.23	93.43	5.34
Sham_oxy_2	1.24	95.1	3.66
Sham_oxy_3	1.05	93.37	5.58
Sham_oxy_4	1.39	93.58999999999999	5.0200000000000005
