Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
SNI_Sal_1	134595.0	9067.0	6192.0
SNI_Sal_2	86350.0	2267.0	2889.0
SNI_Sal_3	143753.0	12418.0	10980.0
SNI_Sal_4	119229.0	5697.0	4488.0
SNI_oxy_1	153710.0	17237.0	11510.0
SNI_oxy_2	158932.0	20915.0	13949.0
SNI_oxy_3	136095.0	9757.0	6494.0
SNI_oxy_4	141753.0	11050.0	9228.0
Sham_Sal_1	127846.0	6664.0	5940.0
Sham_Sal_2	164076.0	24593.0	15286.0
Sham_Sal_3	155343.0	17421.0	10995.0
Sham_Sal_4	141687.0	11344.0	7156.0
Sham_oxy_1	109452.0	4166.0	4468.0
Sham_oxy_2	149208.0	15163.0	10937.0
Sham_oxy_3	144753.0	12553.0	8041.0
Sham_oxy_4	139973.0	10602.0	7926.0
