Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
SNI_Sal_1	7282580.0	187425.0	1806159.0	3867222.0	22865.0	28144.0	23734.0	68131.0	116019.0	42985.0	485285.0
SNI_Sal_2	2127284.0	30395.0	463438.0	1313710.0	5134.0	7013.0	13486.0	23932.0	194580.0	29933.0	394504.0
SNI_Sal_3	12338597.0	267609.0	3455629.0	16296847.0	48590.0	100151.0	97775.0	161270.0	318225.0	148311.0	1776729.0
SNI_Sal_4	5094365.0	82967.0	1005513.0	2706964.0	10706.0	15031.0	20302.0	39949.0	239507.0	44606.0	635143.0
SNI_oxy_1	16736728.0	410165.0	4183911.0	10407757.0	54398.0	72848.0	60286.0	163629.0	283338.0	105371.0	1160773.0
SNI_oxy_2	18303222.0	382564.0	4930073.0	12871662.0	51436.0	85360.0	71154.0	188564.0	321908.0	128959.0	1418674.0
SNI_oxy_3	6978580.0	168658.0	1727442.0	3481318.0	20573.0	26788.0	22242.0	62512.0	107653.0	38897.0	454528.0
SNI_oxy_4	9763611.0	214280.0	2641481.0	11874592.0	35797.0	71363.0	68920.0	122462.0	256019.0	108700.0	1295078.0
Sham_Sal_1	5389114.0	133768.0	1366003.0	5369967.0	23378.0	36690.0	34175.0	61644.0	126670.0	52673.0	625790.0
Sham_Sal_2	24275452.0	554944.0	6357397.0	8966080.0	63747.0	79454.0	59590.0	217835.0	353920.0	114440.0	1154717.0
Sham_Sal_3	14984477.0	372521.0	3399194.0	6205797.0	43885.0	55919.0	42667.0	123818.0	218859.0	72772.0	791726.0
Sham_Sal_4	9882383.0	235454.0	2286976.0	3814756.0	29012.0	32778.0	29034.0	84037.0	249836.0	54158.0	633993.0
Sham_oxy_1	3526694.0	76825.0	1023527.0	4734720.0	17592.0	31065.0	33232.0	49023.0	113739.0	47237.0	567858.0
Sham_oxy_2	13027571.0	271951.0	3687829.0	14523402.0	43011.0	85371.0	78296.0	159187.0	297736.0	131912.0	1511940.0
Sham_oxy_3	10438649.0	212686.0	2738790.0	8512665.0	28875.0	51085.0	48765.0	110664.0	359649.0	94454.0	1147690.0
Sham_oxy_4	9132345.0	219642.0	2426746.0	6522690.0	29548.0	42750.0	38436.0	95235.0	169737.0	65836.0	758649.0
