Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SNI_Sal_1_1	3.4	23075215	14847288	23075215	3461282250	14922229	3125402932	9.703898548001973
SNI_Sal_1_2	3.4	23075215	14628967	23075215	3461282250	81736075	3067637032	11.372814742282285
SNI_Sal_2_1	3.4	24591295	15002112	24591295	3688694250	84188497	3179532886	13.803295407311136
SNI_Sal_2_2	3.4	24591295	14124613	24591295	3688694250	201556684	3075180282	16.63228032521264
SNI_Sal_3_1	3.4	26997272	21209418	26997272	4049590800	61442805	3139384001	22.476512910884725
SNI_Sal_3_2	3.4	26997272	20560976	26997272	4049590800	121838723	3102284343	23.39264641257087
SNI_Sal_4_1	3.4	26361668	14411920	26361668	3954250200	26782336	3515289791	11.100977095480706
SNI_Sal_4_2	3.4	26361668	13966441	26361668	3954250200	101721965	3441425452	12.968950422004152
SNI_oxy_1_1	3.4	23092623	15717912	23092623	3463893450	83510678	2929532316	15.426604245000666
SNI_oxy_1_2	3.4	23092623	15391766	23092623	3463893450	150030633	2874717987	17.009052717831143
SNI_oxy_2_1	3.4	23345167	11862018	23345167	3501775050	11184467	3310956328	5.449199885069716
SNI_oxy_2_2	3.4	23345167	11383738	23345167	3501775050	115840970	3213234448	8.239838307146542
SNI_oxy_3_1	3.4	20677059	11260460	20677059	3101558850	65362699	2780574806	10.34911989498442
SNI_oxy_3_2	3.4	20677059	11081122	20677059	3101558850	127036448	2722542562	12.220186890859736
SNI_oxy_4_1	3.4	22879468	16093547	22879468	3431920200	30354273	2872982392	16.28644535499398
SNI_oxy_4_2	3.4	22879468	15591665	22879468	3431920200	97327733	2818814412	17.864803150143178
Sham_Sal_1_1	3.4	26877663	21016841	26877663	4031649450	193026850	3050021493	24.34804834036352
Sham_Sal_1_2	3.4	26877663	20404064	26877663	4031649450	269964227	2999809193	25.593501364559362
Sham_Sal_2_1	3.4	24876193	13460988	24876193	3731428950	15480789	3432867269	8.001269352857436
Sham_Sal_2_2	3.4	24876193	13182509	24876193	3731428950	115999947	3340441676	10.478218377975548
Sham_Sal_3_1	3.4	27230339	14250058	27230339	4084550850	36945596	3776009798	7.553855082989112
Sham_Sal_3_2	3.4	27230339	14112748	27230339	4084550850	111454201	3705513618	9.279777530496407
Sham_Sal_4_1	3.4	26193820	16347407	26193820	3929073000	113159288	3298195115	16.05665980245213
Sham_Sal_4_2	3.4	26193820	15785486	26193820	3929073000	222834001	3201974143	18.505608243980195
Sham_oxy_1_1	3.4	26198436	23205031	26198436	3929765400	123950780	2618663729	33.363357288452896
Sham_oxy_1_2	3.4	26198436	22418665	26198436	3929765400	186136984	2598091553	33.88685357655192
Sham_oxy_2_1	3.4	21521303	12587876	21521303	3228195450	13431147	2955048309	8.461295024748269
Sham_oxy_2_2	3.4	21521303	12010660	21521303	3228195450	95292699	2885130308	10.627149047000856
Sham_oxy_3_1	3.4	24089362	12763616	24089362	3613404300	21361786	3286535329	9.046011568647327
Sham_oxy_3_2	3.4	24089362	12333694	24089362	3613404300	95579907	3216167627	10.993418948441501
Sham_oxy_4_1	3.4	23320167	16344796	23320167	3498025050	37486677	2913997469	16.695923346803934
Sham_oxy_4_2	3.4	23320167	15916635	23320167	3498025050	111485868	2855109375	18.37939025050721
