Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SNI_Sal_1_1	SNI_Sal_1_1.gz	Conventional base calls	Sanger / Illumina 1.9	23075215.0	3.4 Gbp	0.0	150.0	48.0	38.25262868237538	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
SNI_Sal_1_2	SNI_Sal_1_2.gz	Conventional base calls	Sanger / Illumina 1.9	23075215.0	3.4 Gbp	0.0	150.0	48.0	42.61851409650964	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
SNI_Sal_2_1	SNI_Sal_2_1.gz	Conventional base calls	Sanger / Illumina 1.9	24591295.0	3.6 Gbp	0.0	150.0	56.0	13.515708272404986	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
SNI_Sal_2_2	SNI_Sal_2_2.gz	Conventional base calls	Sanger / Illumina 1.9	24591295.0	3.6 Gbp	0.0	150.0	56.0	24.199277168403967	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
SNI_Sal_3_1	SNI_Sal_3_1.gz	Conventional base calls	Sanger / Illumina 1.9	26997272.0	4 Gbp	0.0	150.0	51.0	57.682917038342616	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
SNI_Sal_3_2	SNI_Sal_3_2.gz	Conventional base calls	Sanger / Illumina 1.9	26997272.0	4 Gbp	0.0	150.0	51.0	61.38475076630995	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	warn	warn	fail
SNI_Sal_4_1	SNI_Sal_4_1.gz	Conventional base calls	Sanger / Illumina 1.9	26361668.0	3.9 Gbp	0.0	150.0	56.0	18.168548468533448	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SNI_Sal_4_2	SNI_Sal_4_2.gz	Conventional base calls	Sanger / Illumina 1.9	26361668.0	3.9 Gbp	0.0	150.0	56.0	24.8692888431559	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
SNI_oxy_1_1	SNI_oxy_1_1.gz	Conventional base calls	Sanger / Illumina 1.9	23092623.0	3.4 Gbp	0.0	150.0	49.0	58.637750969437086	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	fail	fail
SNI_oxy_1_2	SNI_oxy_1_2.gz	Conventional base calls	Sanger / Illumina 1.9	23092623.0	3.4 Gbp	0.0	150.0	49.0	64.28140952633265	150.0	150	pass	pass	warn	pass	warn	warn	pass	pass	warn	fail	fail
