Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SNI_Sal_1	49608819	0	7649036	0	0	0	30914273	0	49608819	0	100.0	nan	41959783	0	20996996	0	20962787	0	41921530	0	99.91	nan	41921530	0	38253	0	0.09	nan	0	0	0	0	49608819
SNI_Sal_2	39645781	0	7979863	0	0	0	27854360	0	39645781	0	100.0	nan	31665918	0	15870725	0	15795193	0	31589816	0	99.76	nan	31589816	0	76102	0	0.24	nan	0	0	0	0	39645781
SNI_Sal_3	44541671	0	4997231	0	0	0	9120872	0	44541671	0	100.0	nan	39544440	0	19793103	0	19751337	0	39497768	0	99.88	nan	39497768	0	46672	0	0.12	nan	0	0	0	0	44541671
SNI_Sal_4	56331671	0	12832143	0	0	0	35414285	0	56331671	0	100.0	nan	43499528	0	21775427	0	21724101	0	43447638	0	99.88	nan	43447638	0	51890	0	0.12	nan	0	0	0	0	56331671
SNI_oxy_1	48861195	0	8982565	0	0	0	12798013	0	48861195	0	100.0	nan	39878630	0	19969832	0	19908798	0	39813080	0	99.84	nan	39813080	0	65550	0	0.16	nan	0	0	0	0	48861195
SNI_oxy_2	48340551	0	6106804	0	0	0	11154864	0	48340551	0	100.0	nan	42233747	0	21178306	0	21055441	0	42107940	0	99.7	nan	42107940	0	125807	0	0.3	nan	0	0	0	0	48340551
SNI_oxy_3	42559335	0	6311889	0	0	0	26015550	0	42559335	0	100.0	nan	36247446	0	18142334	0	18105112	0	36207734	0	99.89	nan	36207734	0	39712	0	0.11	nan	0	0	0	0	42559335
SNI_oxy_4	45783702	0	5015656	0	0	0	18010737	0	45783702	0	100.0	nan	40768046	0	20407030	0	20361016	0	40718838	0	99.88	nan	40718838	0	49208	0	0.12	nan	0	0	0	0	45783702
Sham_Sal_1	36769370	0	5146869	0	0	0	20374654	0	36769370	0	100.0	nan	31622501	0	15830993	0	15791508	0	31581596	0	99.87	nan	31581596	0	40905	0	0.13	nan	0	0	0	0	36769370
Sham_Sal_2	54243547	0	7523968	0	0	0	14566782	0	54243547	0	100.0	nan	46719579	0	23401776	0	23317803	0	46632114	0	99.81	nan	46632114	0	87465	0	0.19	nan	0	0	0	0	54243547
Sham_Sal_3	58327812	0	8410697	0	0	0	29773003	0	58327812	0	100.0	nan	49917115	0	24982335	0	24934780	0	49865724	0	99.9	nan	49865724	0	51391	0	0.1	nan	0	0	0	0	58327812
Sham_Sal_4	50208339	0	8119510	0	0	0	28599378	0	50208339	0	100.0	nan	42088829	0	21081192	0	21007637	0	42012626	0	99.82	nan	42012626	0	76203	0	0.18	nan	0	0	0	0	50208339
Sham_oxy_1	17233196	0	2521968	0	0	0	5729715	0	17233196	0	100.0	nan	14711228	0	7365507	0	7345721	0	14690236	0	99.86	nan	14690236	0	20992	0	0.14	nan	0	0	0	0	17233196
Sham_oxy_2	41797800	0	3585756	0	0	0	9690811	0	41797800	0	100.0	nan	38212044	0	19143326	0	19068718	0	38134810	0	99.8	nan	38134810	0	77234	0	0.2	nan	0	0	0	0	41797800
Sham_oxy_3	45293541	0	6000167	0	0	0	19832956	0	45293541	0	100.0	nan	39293374	0	19671743	0	19621631	0	39241852	0	99.87	nan	39241852	0	51522	0	0.13	nan	0	0	0	0	45293541
Sham_oxy_4	45167749	0	6394106	0	0	0	22792828	0	45167749	0	100.0	nan	38773643	0	19411436	0	19362207	0	38721490	0	99.87	nan	38721490	0	52153	0	0.13	nan	0	0	0	0	45167749
