Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X	Y	*
SNI_Sal_1	[1891761, 130694993]	[3639112, 122082543]	[6838969, 120129022]	[1409970, 120421639]	[1679310, 124902244]	[1641354, 104043685]	[1763955, 98207768]	[1503619, 94987271]	[1479076, 90702639]	[1389733, 61431566]	[3118006, 195471971]	[3631651, 182113224]	[1968760, 160039680]	[2075395, 156508116]	[2469428, 151834684]	[2547231, 149736546]	[2386063, 145441459]	[1920095, 129401213]	[2740246, 124595110]	[2149211, 16299]	[1321511, 171031299]	[44363, 91744698]	[0, 0]
SNI_Sal_2	[651258, 130694993]	[2597996, 122082543]	[2118621, 120129022]	[1024208, 120421639]	[825773, 124902244]	[641214, 104043685]	[3189230, 98207768]	[13445639, 94987271]	[605124, 90702639]	[185115, 61431566]	[784830, 195471971]	[1952278, 182113224]	[2322655, 160039680]	[261882, 156508116]	[1189678, 151834684]	[2125694, 149736546]	[457665, 145441459]	[883968, 129401213]	[3773498, 124595110]	[330230, 16299]	[273097, 171031299]	[6128, 91744698]	[0, 0]
SNI_Sal_3	[2068973, 130694993]	[2690703, 122082543]	[4115156, 120129022]	[1471205, 120421639]	[1770691, 124902244]	[1525636, 104043685]	[1846479, 98207768]	[1790234, 94987271]	[1244242, 90702639]	[1147467, 61431566]	[2756282, 195471971]	[3620700, 182113224]	[1867401, 160039680]	[2160959, 156508116]	[2598939, 151834684]	[2539160, 149736546]	[2374288, 145441459]	[2010461, 129401213]	[2489179, 124595110]	[1122994, 16299]	[1260565, 171031299]	[69957, 91744698]	[0, 0]
SNI_Sal_4	[709656, 130694993]	[3039016, 122082543]	[2672049, 120129022]	[993653, 120421639]	[735001, 124902244]	[769883, 104043685]	[5269225, 98207768]	[22675981, 94987271]	[1036592, 90702639]	[245859, 61431566]	[1001446, 195471971]	[1940457, 182113224]	[2895659, 160039680]	[450090, 156508116]	[2190665, 151834684]	[2764026, 149736546]	[542177, 145441459]	[877053, 129401213]	[2617033, 124595110]	[2466982, 16299]	[430776, 171031299]	[8392, 91744698]	[0, 0]
SNI_oxy_1	[1755476, 130694993]	[3030363, 122082543]	[9617651, 120129022]	[1276387, 120421639]	[1545215, 124902244]	[1704666, 104043685]	[1560029, 98207768]	[1424539, 94987271]	[1206449, 90702639]	[1171933, 61431566]	[2694374, 195471971]	[3493375, 182113224]	[1697677, 160039680]	[1916715, 156508116]	[2303888, 151834684]	[2517508, 149736546]	[2213706, 145441459]	[1744319, 129401213]	[2913500, 124595110]	[1847584, 16299]	[1186638, 171031299]	[39203, 91744698]	[0, 0]
SNI_oxy_2	[2032366, 130694993]	[2719105, 122082543]	[7006720, 120129022]	[1476239, 120421639]	[1817227, 124902244]	[1704337, 104043685]	[1793363, 98207768]	[1555232, 94987271]	[1255239, 90702639]	[1253395, 61431566]	[3060451, 195471971]	[3757637, 182113224]	[2049974, 160039680]	[2127924, 156508116]	[2435000, 151834684]	[2482853, 149736546]	[2497676, 145441459]	[2006223, 129401213]	[2904056, 124595110]	[945038, 16299]	[1408789, 171031299]	[51707, 91744698]	[0, 0]
SNI_oxy_3	[1759397, 130694993]	[2424813, 122082543]	[7242058, 120129022]	[1179023, 120421639]	[1495152, 124902244]	[1461192, 104043685]	[1500511, 98207768]	[1269947, 94987271]	[1051208, 90702639]	[1112472, 61431566]	[2565678, 195471971]	[3108202, 182113224]	[1637332, 160039680]	[1782844, 156508116]	[2073092, 151834684]	[2182130, 149736546]	[2056084, 145441459]	[1617508, 129401213]	[2543888, 124595110]	[1288749, 16299]	[1175959, 171031299]	[32096, 91744698]	[0, 0]
SNI_oxy_4	[2027620, 130694993]	[2746971, 122082543]	[4524130, 120129022]	[1504108, 120421639]	[1832310, 124902244]	[1524464, 104043685]	[1987178, 98207768]	[1718590, 94987271]	[1313763, 90702639]	[1208355, 61431566]	[2810422, 195471971]	[3679024, 182113224]	[1945296, 160039680]	[2125793, 156508116]	[2569029, 151834684]	[2639758, 149736546]	[2337774, 145441459]	[2036824, 129401213]	[2567234, 124595110]	[1379265, 16299]	[1256933, 171031299]	[48861, 91744698]	[0, 0]
Sham_Sal_1	[1669397, 130694993]	[2209629, 122082543]	[4675800, 120129022]	[1094431, 120421639]	[1371985, 124902244]	[1217943, 104043685]	[1465102, 98207768]	[1342127, 94987271]	[981928, 90702639]	[933540, 61431566]	[2166243, 195471971]	[2827663, 182113224]	[1481156, 160039680]	[1631429, 156508116]	[2265412, 151834684]	[2072032, 149736546]	[1873580, 145441459]	[1522855, 129401213]	[2126104, 124595110]	[765618, 16299]	[1031722, 171031299]	[43674, 91744698]	[0, 0]
Sham_Sal_2	[2120528, 130694993]	[3336097, 122082543]	[8228012, 120129022]	[1477554, 120421639]	[1692059, 124902244]	[1876343, 104043685]	[1804861, 98207768]	[1819969, 94987271]	[1296755, 90702639]	[1537224, 61431566]	[3255489, 195471971]	[3965180, 182113224]	[2043775, 160039680]	[2260868, 156508116]	[2682591, 151834684]	[2714536, 149736546]	[2572023, 145441459]	[2062210, 129401213]	[3253778, 124595110]	[2754943, 16299]	[1453084, 171031299]	[35668, 91744698]	[0, 0]
