Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SNI_Sal_1	41959783.0	0.0	41959783.0	1.0	20996996.0	20962787.0	41959783.0	41921530.0	0.0	41921530.0	41959783.0	30914273.0	388163.0	0.0	7649036.0	0.0	5667358163.0	2847412352.0	2819945811.0	5667358163.0	5634758939.0	0.0	4205992730.0	25266415.0	0.004484028	135.0	136.0	135.0	150.0	150.0	150.0	38.2	762.5	1724.4	15579970.0	5380795.0	0.0	0.0	99.9	100.0	99.90883413291246	0.0	99.90883413291246	100.0	73.67596014497978	0.9250834304838994	0.0
SNI_Sal_2	31665918.0	0.0	31665918.0	1.0	15870725.0	15795193.0	31665918.0	31589816.0	0.0	31589816.0	31665918.0	27854360.0	543950.0	0.0	7979863.0	0.0	4104345234.0	2072590619.0	2031754615.0	4104345234.0	3914886602.0	0.0	3614696482.0	66895922.0	0.01708758	129.0	131.0	129.0	150.0	150.0	150.0	37.8	568.9	1623.6	13142277.0	2652631.0	0.0	0.0	99.8	100.0	99.759672212882	0.0	99.759672212882	100.0	87.96321647772851	1.7177774539806487	0.0
SNI_Sal_3	39544440.0	0.0	39544440.0	1.0	19793103.0	19751337.0	39544440.0	39497768.0	0.0	39497768.0	39544440.0	9120872.0	266646.0	0.0	4997231.0	0.0	4816688521.0	2420069715.0	2396618806.0	4816688521.0	4777789179.0	0.0	1129959335.0	23105692.0	0.004836064	121.0	122.0	121.0	150.0	150.0	150.0	38.1	478.1	1327.2	13222264.0	6526620.0	0.0	0.0	99.9	100.0	99.8819758226441	0.0	99.8819758226441	100.0	23.06486575609618	0.6742945405220051	0.0
SNI_Sal_4	43499528.0	0.0	43499528.0	1.0	21775427.0	21724101.0	43499528.0	43447638.0	0.0	43447638.0	43499528.0	35414285.0	561657.0	0.0	12832143.0	0.0	5738366248.0	2890148155.0	2848218093.0	5738366248.0	5572883187.0	0.0	4663957345.0	75383442.0	0.01352683	131.0	133.0	131.0	150.0	150.0	150.0	37.8	253.8	411.7	15173246.0	6550573.0	0.0	0.0	99.9	100.0	99.88071134932774	0.0	99.88071134932774	100.0	81.41303280348238	1.2911795272813074	0.0
SNI_oxy_1	39878630.0	0.0	39878630.0	1.0	19969832.0	19908798.0	39878630.0	39813080.0	0.0	39813080.0	39878630.0	12798013.0	301910.0	0.0	8982565.0	0.0	5136839964.0	2586930457.0	2549909507.0	5136839964.0	5094514699.0	0.0	1657143179.0	26702591.0	0.00524144	128.0	130.0	128.0	150.0	150.0	150.0	37.9	708.2	1696.2	14080198.0	5826342.0	0.0	0.0	99.8	100.0	99.83562624894586	0.0	99.83562624894586	100.0	32.09240889167958	0.7570721461594844	0.0
SNI_oxy_2	42233747.0	0.0	42233747.0	1.0	21178306.0	21055441.0	42233747.0	42107940.0	0.0	42107940.0	42233747.0	11154864.0	256883.0	0.0	6106804.0	0.0	5949169981.0	3008728143.0	2940441838.0	5949169981.0	5901952428.0	0.0	1575306816.0	34153154.0	0.005786755	140.0	142.0	140.0	150.0	150.0	150.0	37.4	825.7	1790.1	18140420.0	2913550.0	0.0	0.0	99.7	100.0	99.70211736126564	0.0	99.70211736126564	100.0	26.412205386370285	0.6082410826583774	0.0
SNI_oxy_3	36247446.0	0.0	36247446.0	1.0	18142334.0	18105112.0	36247446.0	36207734.0	0.0	36207734.0	36247446.0	26015550.0	185129.0	0.0	6311889.0	0.0	5047374882.0	2541766962.0	2505607920.0	5047374882.0	5014259683.0	0.0	3646980550.0	25525678.0	0.005090618	139.0	140.0	138.0	150.0	150.0	150.0	37.8	889.4	1870.5	15273639.0	2830228.0	0.0	0.0	99.9	100.0	99.89044193624014	0.0	99.89044193624014	100.0	71.77209119781847	0.5107366736955757	0.0
SNI_oxy_4	40768046.0	0.0	40768046.0	1.0	20407030.0	20361016.0	40768046.0	40718838.0	0.0	40718838.0	40768046.0	18010737.0	250000.0	0.0	5015656.0	0.0	5181850464.0	2610840054.0	2571010410.0	5181850464.0	5145213085.0	0.0	2343212683.0	28173980.0	0.005475766	127.0	128.0	126.0	150.0	150.0	150.0	37.8	539.8	1415.1	14671524.0	5687895.0	0.0	0.0	99.9	100.0	99.8792976244189	0.0	99.8792976244189	100.0	44.17856327968232	0.6132253677304034	0.0
Sham_Sal_1	31622501.0	0.0	31622501.0	1.0	15830993.0	15791508.0	31622501.0	31581596.0	0.0	31581596.0	31622501.0	20374654.0	230724.0	0.0	5146869.0	0.0	3913701381.0	1969573810.0	1944127571.0	3913701381.0	3883245829.0	0.0	2561520213.0	20948784.0	0.005394658	123.0	124.0	123.0	150.0	150.0	150.0	38.0	551.9	1446.0	10941226.0	4849572.0	0.0	0.0	99.9	100.0	99.8706459049523	0.0	99.8706459049523	100.0	64.43087471164915	0.7296197097123975	0.0
Sham_Sal_2	46719579.0	0.0	46719579.0	1.0	23401776.0	23317803.0	46719579.0	46632114.0	0.0	46632114.0	46719579.0	14566782.0	202623.0	0.0	7523968.0	0.0	6399559605.0	3234694765.0	3164864840.0	6399559605.0	6350117185.0	0.0	2000994349.0	38481253.0	0.006059928	136.0	138.0	136.0	150.0	150.0	150.0	37.4	950.1	1927.3	19153712.0	4162345.0	0.0	0.0	99.8	100.0	99.81278726848116	0.0	99.81278726848116	100.0	31.179180788422773	0.43370039785675296	0.0
Sham_Sal_3	49917115.0	0.0	49917115.0	1.0	24982335.0	24934780.0	49917115.0	49865724.0	0.0	49865724.0	49917115.0	29773003.0	252516.0	0.0	8410697.0	0.0	6941396147.0	3494322612.0	3447073535.0	6941396147.0	6893715182.0	0.0	4184128937.0	35597379.0	0.005163744	139.0	140.0	138.0	150.0	150.0	150.0	37.8	897.7	1867.0	20837808.0	4095054.0	0.0	0.0	99.9	100.0	99.89704733536784	0.0	99.89704733536784	100.0	59.64487931644287	0.5058705816632232	0.0
Sham_Sal_4	42088829.0	0.0	42088829.0	1.0	21081192.0	21007637.0	42088829.0	42012626.0	0.0	42012626.0	42088829.0	28599378.0	393342.0	0.0	8119510.0	0.0	5536569766.0	2797202748.0	2739367018.0	5536569766.0	5434605097.0	0.0	3788392624.0	48595160.0	0.008941801	131.0	133.0	130.0	150.0	150.0	150.0	37.5	787.2	1798.7	16409472.0	4596841.0	0.0	0.0	99.8	100.0	99.81894720805846	0.0	99.81894720805846	100.0	67.95004441677386	0.9345520161656197	0.0
Sham_oxy_1	14711228.0	0.0	14711228.0	1.0	7365507.0	7345721.0	14711228.0	14690236.0	0.0	14690236.0	14711228.0	5729715.0	144196.0	0.0	2521968.0	0.0	1748236270.0	878704204.0	869532066.0	1748236270.0	1726518061.0	0.0	688838167.0	10131885.0	0.005868392	118.0	119.0	118.0	150.0	150.0	150.0	38.2	434.3	1263.1	4860539.0	2484579.0	0.0	0.0	99.9	100.0	99.85730626974171	0.0	99.85730626974171	100.0	38.94790428100224	0.9801765019208458	0.0
Sham_oxy_2	38212044.0	0.0	38212044.0	1.0	19143326.0	19068718.0	38212044.0	38134810.0	0.0	38134810.0	38212044.0	9690811.0	159843.0	0.0	3585756.0	0.0	5265162832.0	2656561752.0	2608601080.0	5265162832.0	5224971448.0	0.0	1352101441.0	29285132.0	0.005604841	137.0	139.0	137.0	150.0	150.0	150.0	37.5	644.4	1550.4	15578649.0	3488756.0	0.0	0.0	99.8	100.0	99.79788047977752	0.0	99.79788047977752	100.0	25.36061928537505	0.4183052861553284	0.0
