Module	Section	Sample Name	Source
Picard	DuplicationMetrics	Sham_oxy_1	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_oxy_1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_Sal_1	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_Sal_1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_Sal_1	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_Sal_1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_Sal_2	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_Sal_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_oxy_4	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_oxy_4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_oxy_2	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_oxy_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_oxy_3	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_oxy_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_Sal_4	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_Sal_4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	Sham_Sal_3	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/Sham_Sal_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_Sal_2	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_Sal_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_Sal_3	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_Sal_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_Sal_4	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_Sal_4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_oxy_3	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_oxy_3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_oxy_2	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_oxy_2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_oxy_4	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_oxy_4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	SNI_oxy_1	/scratch/12109805/nxf.HgsSArNZRN/picard/markduplicates/SNI_oxy_1.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	Sham_Sal_4	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_Sal_2	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_Sal_3	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_oxy_4	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_oxy_3	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_oxy_2	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_oxy_1	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_Sal_1	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_Sal_3	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_Sal_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_Sal_4	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_Sal_4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_Sal_1	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_Sal_1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SNI_Sal_2	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_Sal_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_oxy_4	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_oxy_4/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_oxy_3	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_oxy_3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_oxy_2	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_oxy_2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	Sham_oxy_1	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_oxy_1/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	Sham_Sal_4	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_4/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Sham_Sal_2	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Sham_Sal_3	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SNI_oxy_4	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_4/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SNI_oxy_3	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SNI_oxy_2	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SNI_oxy_1	/scratch/12109805/nxf.HgsSArNZRN/qualimap/SNI_oxy_1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	Sham_Sal_1	/scratch/12109805/nxf.HgsSArNZRN/qualimap/Sham_Sal_1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
