Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SNI_Sal_1	22918669.0	269.0	19133369.0	83.48	268.95	9434503.0	9426012.0	9331175.0	85402.0	10115.0	7811.0	0.42	0.01	1.71	0.01	1.33	1865649.0	8.14	19238.0	0.08	0.0	7.89	0.4	0	1808716	91697
SNI_Sal_2	24322613.0	255.0	13483064.0	55.43	249.61	2754461.0	2748767.0	2272350.0	466515.0	12450.0	3146.0	1.51	0.04	3.79	0.16	4.37	2387946.0	9.82	4348.0	0.02	0.0	34.63	0.1	0	8422932	24323
SNI_Sal_3	26880988.0	231.0	18625571.0	69.29	241.94	5092459.0	5083963.0	5035313.0	45146.0	7089.0	4911.0	0.45	0.01	1.83	0.01	1.33	1169985.0	4.35	34946.0	0.13	0.0	25.66	0.56	0	6899904	150582
SNI_Sal_4	26256914.0	264.0	17965630.0	68.42	258.09	2709307.0	2704567.0	2655861.0	47091.0	1925.0	4430.0	1.14	0.11	5.1	0.07	3.24	3810079.0	14.51	5897.0	0.02	0.0	16.84	0.21	0	4420187	55121
SNI_oxy_1	22872831.0	253.0	17345214.0	75.83	255.93	7932973.0	7922840.0	7829331.0	89084.0	8850.0	5708.0	0.49	0.01	1.72	0.01	1.39	2626876.0	11.48	27546.0	0.12	0.0	12.15	0.41	0	2779404	93791
SNI_oxy_2	23176856.0	280.0	19311323.0	83.32	279.13	9020305.0	9009144.0	8917321.0	83554.0	12457.0	6973.0	0.55	0.01	1.67	0.01	1.3	1868454.0	8.06	19028.0	0.08	0.0	8.08	0.45	0	1873699	104352
SNI_oxy_3	19938932.0	275.0	16134083.0	80.92	277.14	8638155.0	8631179.0	8538088.0	84590.0	9173.0	6304.0	0.48	0.01	1.66	0.01	1.36	2009496.0	10.08	14662.0	0.07	0.0	8.52	0.41	0	1698935	81756
SNI_oxy_4	22773509.0	249.0	19157955.0	84.12	252.67	5691219.0	5684054.0	5628735.0	51313.0	6896.0	4275.0	0.52	0.01	1.94	0.01	1.6	1250672.0	5.49	26020.0	0.11	0.0	9.71	0.56	0	2211329	127533
Sham_Sal_1	26628483.0	226.0	14504674.0	54.47	246.03	4740390.0	4734722.0	4680031.0	43909.0	11963.0	4487.0	0.5	0.01	1.85	0.01	1.39	1327029.0	4.98	26697.0	0.1	0.0	40.03	0.42	0	10658255	111828
Sham_Sal_2	24742123.0	273.0	20962286.0	84.72	272.27	12147085.0	12133393.0	11998824.0	125073.0	13637.0	9551.0	0.57	0.01	1.84	0.01	1.39	2441236.0	9.87	17103.0	0.07	0.0	5.01	0.34	0	1237515	83983
Sham_Sal_3	27047792.0	276.0	22271696.0	82.34	276.7	12839395.0	12827207.0	12687445.0	127655.0	15445.0	8850.0	0.48	0.01	1.88	0.01	1.43	2712557.0	10.03	22282.0	0.08	0.0	7.15	0.39	0	1935675	105582
Sham_Sal_4	24754637.0	261.0	18628835.0	75.25	259.47	8682695.0	8674432.0	8435565.0	228480.0	12254.0	6396.0	0.81	0.01	2.57	0.05	3.91	2453681.0	9.91	20529.0	0.08	0.0	14.51	0.24	0	3592176	59416
Sham_oxy_1	26067858.0	199.0	6804408.0	26.1	235.62	1648744.0	1644946.0	1623654.0	18537.0	4501.0	2052.0	0.54	0.01	2.08	0.01	1.71	561702.0	2.15	18145.0	0.07	0.0	71.39	0.29	0	18608014	75589
Sham_oxy_2	21392701.0	272.0	18163774.0	84.91	273.22	6192095.0	6184221.0	6125530.0	55107.0	6819.0	4639.0	0.53	0.01	1.72	0.01	1.31	980865.0	4.59	19651.0	0.09	0.0	9.94	0.48	0	2125759	102652
Sham_oxy_3	23978122.0	270.0	17913062.0	74.71	266.32	4932363.0	4925925.0	4842068.0	81309.0	5462.0	3524.0	0.88	0.05	4.28	0.07	2.8	1759386.0	7.34	12355.0	0.05	0.0	17.65	0.26	0	4230993	62326
Sham_oxy_4	23192701.0	248.0	17718267.0	76.4	254.84	7556110.0	7548615.0	7469958.0	71052.0	9458.0	5642.0	0.52	0.01	1.85	0.01	1.36	1694631.0	7.31	26125.0	0.11	0.0	15.68	0.5	0	3637681	115997
