Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SNI_Sal_1	23248.466599351705	25319.41789114444	27252.567946363462	29101.26515806662	30925.562427377645	32897.172262812106	34826.89586498535	36814.00672391962	38363.043034559705	39781.530509803655	41000.5303930319	42880.87596745696	43679.877511786704	44446.808873305614	45236.52042361686	45818.27610899728	46047.96014466579	46621.38477018781	46798.72716919289	47026.63604058844	47381.0118431647	47581.191333211114	47954.55703455552	48328.62994037373	48603.92639830488	48962.21649028286	49475.201253923355	49714.61297709041	49758.19322489149	49778.68989863264	49824.303939535865	50064.45755610126	50164.06667805201	50161.08508766092	50251.64546795364	50268.330691852345	50257.08624091241	50224.996620492035	50081.519465313795	50052.539513144555	49983.26883377893	49857.887407369635	49841.608329952025	49911.351564006094	49770.847163460465	49380.3379104587	48699.999861657336	48602.79716366392	48275.84180935711	48141.58520216833	48103.87443364773	47982.91311952308	47707.49575524018	47519.65070417549	47251.96401162197	47074.40688069175	46855.78531867522	46788.41552550212	46741.05351630824	46487.94301844688	46465.23847358458	46296.07109284213	46084.25809237813	45905.65254420079	45738.36759880039	45329.70001898948	44985.30634665321	44659.42184520226	44400.84335521795	44292.21662450483	43819.68075584597	43748.64516090982	43672.170363320874	43557.960479942114	43475.48489538805	43359.854720511	43023.86589403001	42700.00403745648	42343.176149054525	42209.861995647785	41930.323152963014	41551.058191179254	41149.016561978126	40750.76479965881	40092.85069057874	39439.83621481467	38453.21748363542	37551.298707272086	36447.86847473533	35068.32629775286	33387.87079320274	31406.90412325388	29268.076357274287	26867.669529082566	24172.40844076796	21395.655328023222	18038.972774995145	13784.216006989045	8542.638181806975	2771.8822730509114
SNI_Sal_2	4886.302506739443	7590.7645098922985	9769.921535862357	12513.144050771578	15400.574425330242	17394.19785652866	19219.716287451312	20606.715791512328	19672.701821709554	18635.138988419356	16409.566979568233	16286.121321274391	17480.30275144547	18102.308622133143	19754.272872186815	20938.895436056533	22155.482213134463	22066.968747859697	22845.033971397483	23156.621183230018	22758.621373130423	21406.56913115789	19619.319711140168	18163.76716899033	17596.598446412965	17635.305852541853	17128.772951621166	17840.33062713653	18501.365919280863	18182.889576676902	20378.71452868383	21072.159183546064	23006.54174168809	24369.194037093894	26254.3638277281	28145.182091469072	31119.08203333976	34202.5073055798	34534.71375512666	34923.876060278766	34112.674343231905	33994.26300331585	33670.581113981745	33450.157730938314	32685.75090561044	31883.099978923787	31002.75975474908	32688.154861561503	34296.98238497103	34619.910412359146	34946.37831721564	33109.47140686042	31284.476596643224	30464.609209012313	28119.76460018809	27496.513032096715	26909.324109897825	26782.73401376388	27177.89394471408	28501.921082658166	27625.40638818312	29525.617982357893	31907.185356120506	31349.600979676772	31150.738488458897	29916.44976066905	29349.488628695748	28206.38379766063	27345.03172038016	28447.366364123292	28264.91654775822	27337.78223899223	27135.424455444965	26559.14393105927	27517.271941199353	27620.14904006066	26578.712946854055	25449.011399616626	24931.71842444801	26982.500281350367	29614.898914356912	33223.786350312286	36886.96480863205	38045.577594850925	35430.89986329555	33033.37371491537	27167.22855689913	18395.97819011329	15336.220169036276	12121.46422447535	10213.622214772005	8717.28395294045	5259.490374087764	5776.453331263396	4957.162351922923	4262.495049692077	2943.7526102690836	1580.9808616642745	975.1817599443006	316.57624886189325
SNI_Sal_3	11365.259924287848	12341.233292278452	13321.34819803794	14295.59798559737	15353.04661045854	16391.140918371024	17347.02687137519	18303.90262425828	19146.092449828266	19871.619721975683	20601.51077320968	21729.074006368865	22248.4643735358	22795.174594742723	23303.63852480312	23717.625990845092	23921.135684114695	24307.986901681048	24485.324063234108	24674.407559446012	24881.957389221985	25013.409709622265	25141.548929106248	25347.23433611464	25495.803280384313	25757.864272998515	26075.83865153939	26222.27472066124	26332.325353402266	26272.01425956664	26227.16833559818	26332.03901316436	26400.11546333898	26377.410718788098	26433.971810451556	26516.817517052976	26623.51233481006	26698.08589884833	26566.80826291534	26487.27667454782	26435.79587264483	26416.69970442501	26454.67425979624	26528.552706797655	26528.394642346735	26246.11887962525	25892.091194261793	25848.2935996462	25666.3589902004	25554.416066594906	25518.911249337347	25366.04019736133	25117.371711470332	24914.283903155047	24712.989480557866	24719.850936957777	24666.432758703606	24695.52882803927	24695.5581267159	24582.01688517238	24518.69585638606	24511.960095848597	24460.98151222302	24390.119466430056	24336.662662217655	24125.000944247367	24059.734069350354	23964.140356236294	23931.230555553295	23993.42899818409	23854.03229930471	23828.184397460598	23827.919278457535	23796.635704307817	23762.64105559357	23740.005153882525	23585.031318791964	23392.71078676088	23162.13965226504	23062.92023055711	22850.851934147053	22685.098742413724	22456.988230596296	22239.365557737296	21902.914410963647	21559.631528323567	20987.93697144391	20499.09646225576	19923.788994334118	19262.859726721177	18400.330023669056	17366.631314895152	16169.344698506884	14903.975365358401	13531.983151556155	12061.249176306761	10257.644414840865	7926.8601319730205	4940.898355708161	1590.1062542453487
SNI_Sal_4	6645.183508940048	12859.053866300146	17516.89842839024	21980.574679113488	27325.270949922728	32097.137446987257	35854.78413607994	38755.137838361	38460.14174769839	39198.16102635537	36815.250193670676	40328.26960407886	40301.30734922966	41089.98347944911	41740.03220564066	42744.098428686484	40594.808081454	36742.60015020221	35086.97025251948	35609.01135948326	35739.73950875988	35504.45281852798	35235.10554343504	34077.280812416	35909.74268673618	37126.44114057057	38628.737863135626	38281.44666854159	38310.993115009216	38907.28492391649	37983.137237051895	35729.22314387879	32327.763870097646	31381.94676412797	31440.655019379614	34880.45063516752	37846.895284416256	40624.664371134335	42920.30309308494	45415.76356052896	45543.33972196198	46109.59352460151	46827.84629473816	44029.1277590881	41216.84074784627	39158.52660092058	36874.9506137214	36278.03886931519	35436.31521127786	32730.96794098569	32524.143132940302	35513.07440735219	36747.431058252754	37288.85727923924	36703.036901834625	35245.007350847874	36357.92493687198	36874.24750798807	36629.35351174112	36292.472439322795	35929.62466319397	36612.31216737175	35497.88342848093	32440.60053100153	29965.338767765923	28382.034013822013	27454.691718139777	29145.516667856144	30152.028363040634	31215.085441334344	32322.90209183599	34259.14472100226	35065.49501547658	34115.04301445839	33466.12799604402	32575.428361700506	32059.501397164728	31443.749697652558	29907.292376431367	28707.73206528382	30134.498333653497	31258.20434211439	33145.34644144795	33451.82294767532	32678.17554778131	31833.473206935087	28810.93924806831	23807.170200466746	20485.92726193344	17063.63646060619	12051.201834176854	9180.685289461915	6819.692258979378	6601.976492540232	5938.438485179073	4953.108207445098	3719.908414242827	2528.119266903187	1495.2188352439587	484.65778735155806
SNI_oxy_1	20029.55800914829	21870.765747414083	23535.079852220028	25057.108373555235	26664.136462808056	28385.157493019164	30086.190764138664	32116.577433477923	33578.754999247656	34992.47590588846	36298.0705077394	38548.86721986928	39374.71512663161	40236.30707372317	41076.2431075245	41710.9597536336	41934.304977506734	42593.93804582137	43161.26707605302	43479.22799612275	43813.54290788972	44043.025788513405	44325.29791555129	44676.07616004837	44899.28346917784	45222.790443400314	45687.73863392075	45826.63188457582	45924.52041346656	45945.41207540052	46105.8625999209	46358.832914130966	46430.864789187566	46369.02921907122	46219.90364255494	46166.868783469894	46102.463672268845	46065.278192713435	45809.90899393927	45655.586650783414	45604.39373414871	45514.6270750496	45694.879829880876	45742.72885006658	45572.19682889663	45150.85253900622	44375.20408207631	44271.364728392145	43852.75458090638	43604.29494709821	43460.96224708413	43225.87757098068	42855.31097849789	42610.61469072726	42232.4735114131	41941.204595364616	41665.27173092532	41496.56714553983	41266.330183835926	40898.67164395603	40790.99088547764	40649.89272387655	40378.8398633799	40114.40987535782	39966.167797973394	39610.12808144144	39389.330084259214	39081.13817468369	38745.33822757954	38626.0668388006	38301.12712979867	38214.22461847519	38161.06189314712	38037.425690590666	37648.45979345191	37344.49808292022	37032.21403122047	36757.099011011276	36432.190061347064	36309.4506704377	36030.249577380164	35688.08224468285	35187.03942011083	34765.123943494465	34198.89045776927	33631.27676598686	32787.55682123951	32021.614774681588	31075.31956606539	29896.31071846836	28460.618453610754	26728.94573992729	24888.219303766742	22814.038434276954	20517.884415436652	18104.912506692664	15162.193977895553	11510.163152478332	7140.016687376897	2311.337123322256
SNI_oxy_2	21113.615002413215	22530.42829811392	24039.133849817976	25523.71237565666	27134.897401073158	28843.140297010767	30485.30528431194	32029.685376907477	33380.62001561763	34663.522143535185	35900.19285600121	37681.30217140793	38526.19513974923	39307.12031776967	40122.03981383669	40917.84102031778	41487.928634198935	42160.371266336224	42596.287373126004	42970.87526733363	43452.22496157033	43783.20257022119	44228.83795085224	44633.40260424248	44931.25401031283	45295.945563462425	45751.13466488407	46019.63502257949	46170.28575592412	46369.04085465394	46654.43942325702	46993.94035505606	47140.8176109788	47301.721675122746	47527.39096324389	47700.88529023218	47800.49008559702	47861.681732214725	47731.19518658659	47757.149268643305	47875.98884181317	47933.8552881913	48140.63008023418	48363.364263985866	48322.946027100574	48233.30500368778	47908.92230485219	47790.115454570754	47343.33647850736	47204.528089205916	47147.16107221949	46991.15030919503	46718.891953489365	46447.83824080927	46083.70189892752	45846.7815790042	45644.32199183613	45581.48869792692	45487.4157959581	45297.076698748824	45277.60152396229	45225.809904355265	45142.50068209881	45019.91458958643	44952.773300667795	44690.191702661214	44567.88379909172	44394.757544961125	44109.88771228039	44025.62140001553	43702.5254667258	43578.46482763722	43541.18593136553	43444.235256188156	43350.98262880478	43169.40994328886	42759.875193351254	42423.21747778901	42025.153711663734	41840.791023488164	41488.00299286609	41068.96111377257	40679.856787600154	40270.49359778804	39552.15806829173	38910.82521029796	37958.47407158672	37089.7899360816	36038.133194815564	34668.673659941036	33037.17274341337	31046.0462443165	28948.717047219325	26609.188349115935	24000.429616985148	21208.90879545013	17794.30665694808	13642.026214993057	8516.871260464652	2791.743457542163
SNI_oxy_3	21143.1164189449	22703.594491049444	24281.171125245128	25835.702245593468	27493.013059642784	29254.92215920273	30919.803177545586	32646.70837541875	33920.83779183514	35202.42306344661	36402.542597740976	38300.24131826409	39024.09309544866	39737.30705339361	40504.04953656676	41217.53982885265	41668.70211571841	42291.36103118882	42595.94266488558	42938.18305401495	43377.583098508105	43631.741888857934	43977.61560518395	44341.41154325696	44643.92628747168	44979.59860686414	45420.58532602729	45586.419573354775	45680.75859341413	45753.478550473206	45895.07585196855	46216.091656449375	46293.85677696904	46366.025114175216	46542.23357455899	46670.73850699697	46762.55736945078	46796.12910824602	46609.88603223453	46591.62270657229	46603.95172125316	46598.39020302376	46740.24639876472	46832.35778710966	46714.309387891444	46489.16181553274	46060.48795899983	45937.434021450805	45521.75856553058	45348.9916765443	45249.06216725905	45020.68656237137	44747.164830411806	44469.94938670891	44070.14096692464	43785.7712984934	43451.62202441658	43354.19090262212	43260.1710896577	43044.48752671911	42972.93139173651	42867.728680250504	42747.74841639405	42652.976532082546	42547.481864856716	42238.94290529833	42031.4869913782	41794.781617636894	41555.03048714779	41467.990804419715	41181.1171737885	41035.98312730891	40944.05865780263	40793.11512605139	40639.562668585095	40438.4817072806	40000.39250040115	39656.69787222418	39267.31793305745	39051.58463734288	38720.92949822907	38268.39992869537	37768.42930992761	37394.622424985624	36750.41673594489	36148.87523224934	35232.36572223572	34351.9227304033	33289.4483170281	31969.475623037215	30404.566048484987	28577.897660320665	26676.998900724455	24485.59229965472	21988.40966389833	19371.699081445928	16228.818710473803	12424.275770159196	7717.630174367179	2511.649422623333
SNI_oxy_4	13261.680894281311	14448.040459835134	15620.651869746938	16751.161470532785	17980.748869647705	19246.22886818889	20396.5902615022	21564.136759400022	22443.729642474747	23193.684647278704	23878.56583371795	25198.186534605076	25718.994866543635	26314.808182435434	26898.539542151317	27375.81577551014	27543.81532154224	27916.85100237762	28090.0843134815	28236.406218582943	28428.940290377755	28548.25966297569	28667.189808012845	28868.797499093693	29014.032896598103	29216.71079750644	29528.237465423037	29605.379416684278	29675.979671473076	29609.214725159516	29568.41277088124	29692.21725842974	29706.180062981104	29683.939562279804	29683.303469071725	29768.427344636137	29859.999538366697	29922.70448957738	29763.47837509166	29747.543871580056	29744.749721763837	29735.03982881889	29816.299216965243	29916.587975064806	29854.06235599659	29570.92153522493	29222.655042936538	29184.894030053216	29011.397411502512	28886.57464661175	28843.669351237604	28781.740753450045	28556.830620450473	28377.347315283925	28170.38279578857	28129.93157664826	28037.457169208763	28001.811925810653	27969.215532491326	27860.464833540034	27857.041730701647	27802.112584453036	27700.011297120225	27647.575539388505	27583.508093051307	27359.27019457243	27237.79792553514	27092.94340887782	26952.739385706675	26987.834424416036	26826.733580055257	26772.067186988064	26697.54012640615	26592.688115265148	26521.618467558423	26439.34005119952	26197.881119160495	25986.07096072757	25778.592119775352	25629.53652084987	25413.439600943573	25180.17630757806	24955.025506476966	24787.329017401997	24459.051133762583	24076.261683660963	23462.473852275747	22914.66168799906	22247.823717131134	21411.593381607632	20363.716645320656	19158.719286071326	17886.203161983376	16468.36805313335	14877.606638925487	13212.32415774355	11193.60830251997	8586.000394712359	5324.143249318366	1706.4471933788927
Sham_Sal_1	11919.599431701281	13001.089925070435	14035.188826282352	14976.315105722651	15959.638353263403	16935.651143413263	17837.872031036477	18775.29896406926	19511.315306024087	20207.460831522534	20820.61035573518	21898.458324269057	22370.599974122415	22852.89270820464	23309.429069692284	23677.404190688365	23838.643367718767	24207.419798890198	24341.741224866302	24451.905894784235	24596.784656496548	24685.78116473407	24774.28888484407	24873.189911635447	24957.753588545456	25110.323262173963	25335.063645491813	25360.935772786375	25386.776964470955	25344.458383615787	25338.706589342386	25451.586000987016	25493.641643570714	25463.174095046117	25416.117116881065	25461.680147456314	25453.21898147478	25389.35020731355	25221.666151887024	25114.34342229551	25054.260314031006	25023.40937246173	25113.19186708966	25183.652784815094	25170.068541701596	25026.460556183953	24770.87011424225	24752.988141394766	24591.749828296735	24505.71353429197	24441.94391086891	24319.66705355424	24121.23843503647	23985.46234873108	23747.104098124557	23668.90867089871	23561.1331575441	23521.548062566104	23470.56777418967	23325.950068866194	23311.86262130165	23343.778958070718	23252.79819465299	23170.100354422826	23071.39591718413	22845.560055768496	22765.71981085628	22649.480302449854	22563.13658732958	22540.596065559428	22430.13558300545	22407.450659324666	22376.6167539651	22269.10122460298	22194.988138219167	22150.478482289218	21985.142109780594	21796.696044740722	21555.031916602948	21490.593939084636	21353.646924810404	21184.38683604156	20990.03822010096	20778.10959658201	20415.48145833883	20098.810432933475	19656.248733983175	19252.011995294208	18752.69557731104	18081.406546313134	17272.793097359554	16212.257466979368	15096.77281514662	13916.513429475968	12571.830514323328	11110.714747027407	9355.04522050239	7148.252010186315	4439.014767213152	1436.3679667254196
Sham_Sal_2	29072.77620523555	31472.866461337526	33748.7461111458	35995.356817833155	38398.068661529775	40924.25201556778	43325.92164051764	45855.14886280776	47761.316050109956	49536.35799361234	51081.20138210486	53761.49397108392	54878.34368999683	56054.951882959474	57169.25066495675	58220.849980416635	58746.350726612254	59537.545320385136	59840.80516768772	60147.716327936425	60577.28633154806	60910.288685387364	61323.655940900084	61856.842729736214	62310.74596438031	62830.52270041796	63505.72409814567	63769.527207603314	63935.91792421146	63939.82631554747	63954.644322944485	64264.762998628205	64403.98793436287	64507.364602683076	64652.41920536378	64886.332187051026	65027.14842712315	65052.92747563941	64806.61603033326	64829.51182828842	64828.911563419606	64762.118341049834	64890.47037783786	64947.13102481169	64695.04693827166	64215.70499455145	63581.67010340191	63592.19713179777	63202.22316824819	63046.84202606806	63039.83681607194	62962.87570724862	62669.530613573996	62407.066935618794	61994.671051857746	61783.94297369602	61439.32341946694	61285.62384286485	61192.77822354185	60957.72221743455	60897.74594978298	60709.957516123504	60348.8610700514	60175.41515000586	60016.77206299214	59629.94715913388	59426.33777897545	59132.1016694863	58802.33264763093	58742.812138928595	58387.7200310365	58286.26139556806	58106.64330006415	57858.29789274098	57673.821193439224	57448.52426098588	56974.36802955256	56682.95806498974	56241.82006313664	56009.86979247955	55591.89305743481	55099.2563521925	54488.281948662436	53874.70882341451	53009.870203073086	52098.66898100538	50812.7686312458	49549.548967118906	48008.84608246102	46054.33290182993	43760.66697062868	41056.828427682354	38157.80876075216	34959.66546016956	31381.442560228075	27658.94579384697	23209.001917125086	17616.211133221455	10951.76450882966	3567.326738424756
