task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
34	f8/ef9cbb	12109268	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_oxy_1)	COMPLETED	0	2024-08-15 08:22:20.495	2m 8s	2m 4s	187.7%	1.5 GB	6.1 GB	4 GB	4 MB
15	4b/304028	12109265	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_Sal_3)	COMPLETED	0	2024-08-15 08:22:20.321	2m 57s	2m 32s	191.3%	1.1 GB	6 GB	4.8 GB	3.9 MB
2	60/4c6491	12109294	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2024-08-15 08:25:20.190	12.2s	8s	94.7%	4.7 MB	12 MB	2.6 GB	5.7 KB
1	fb/606d7d	12109298	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2024-08-15 08:25:20.969	16.4s	9s	88.4%	18.3 MB	23 MB	3.4 GB	846.6 MB
35	0b/9db5a6	12109299	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	COMPLETED	0	2024-08-15 08:25:37.536	44.9s	35s	96.2%	1000.8 MB	1.2 GB	3.8 GB	991.2 MB
20	11/46a077	12109295	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_oxy_3)	COMPLETED	0	2024-08-15 08:25:20.461	2m 2s	1m 58s	193.8%	1.2 GB	6.1 GB	3.7 GB	3.9 MB
30	42/8bee5a	12109269	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_oxy_1)	COMPLETED	0	2024-08-15 08:25:17.551	2m 10s	2m 2s	194.2%	1.2 GB	6.1 GB	3.7 GB	4 MB
14	21/91ce03	12109284	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_oxy_4)	COMPLETED	0	2024-08-15 08:25:18.948	2m 8s	1m 59s	194.1%	1.3 GB	6.1 GB	4 GB	4 MB
22	b3/fadbed	12109286	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Sham_oxy_2)	COMPLETED	0	2024-08-15 08:25:19.022	2m 8s	2m 3s	192.1%	1.2 GB	6.1 GB	4 GB	3.9 MB
23	21/dcfdc9	12109279	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SNI_Sal_2)	COMPLETED	0	2024-08-15 08:25:18.528	2m 14s	2m 5s	193.1%	1.1 GB	6 GB	3.6 GB	4 MB
