gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8048	-0.04384108	0.10157191	0.478527	0.839787
ENSMUSG00000000028	9.291975	0.01304923	0.13172634	0.6309111	0.902451
ENSMUSG00000000031	0.1428392	0.005596782	0.22419223	0.610584	NA
ENSMUSG00000000037	14.61409	-0.004786219	0.12803696	0.8861029	0.9741474
ENSMUSG00000000049	0.4140643	-0.001352907	0.20548034	0.9016262	NA
ENSMUSG00000000056	362.494	0.03088683	0.09712714	0.6219725	0.8995653
ENSMUSG00000000058	93.69539	0.1220149	0.13143588	0.02473312	0.3404891
ENSMUSG00000000078	188.1523	0.02580658	0.1155253	0.6260929	0.9008299
ENSMUSG00000000085	414.9223	0.1087125	0.11970609	0.05911982	0.4627388
ENSMUSG00000000088	414.5225	0.00798344	0.10340513	0.895361	0.9770942
ENSMUSG00000000093	8.239759	0.02430791	0.13867452	0.3062716	0.7459667
ENSMUSG00000000094	5.875187	0.1367403	0.61560457	0.008656739	0.2229682
ENSMUSG00000000120	31.83338	-0.01254143	0.13042885	0.6692649	0.9155711
ENSMUSG00000000125	20.44297	0.04161368	0.12719646	0.2981786	0.7412041
ENSMUSG00000000126	4.504257	0.01387089	0.14338812	0.445445	0.8241778
ENSMUSG00000000127	241.9255	0.09764829	0.10792598	0.11521	0.5645297
ENSMUSG00000000131	770.8468	-0.03445264	0.09195792	0.5851021	0.8867026
ENSMUSG00000000134	173.613	-0.03213995	0.10539837	0.5932989	0.8902058
ENSMUSG00000000142	172.6102	-0.1041094	0.10717714	0.09635571	0.5376904
ENSMUSG00000000148	159.3423	0.03015663	0.10583438	0.6148463	0.8979686
ENSMUSG00000000149	707.5922	-0.09342384	0.10193018	0.1404378	0.5908152
ENSMUSG00000000154	2.778065	0.02356556	0.15764865	0.2170545	0.6703621
ENSMUSG00000000159	2.111991	-0.005468284	0.14389078	0.7244172	0.9337414
ENSMUSG00000000167	11.88362	0.02425302	0.13204619	0.4092047	0.8035269
ENSMUSG00000000168	589.7003	0.08927293	0.09228195	0.1624652	0.618818
ENSMUSG00000000171	375.0444	0.02840743	0.09886507	0.6483204	0.9086269
ENSMUSG00000000182	2.184175	-0.01316898	0.14849028	0.4302544	0.8134892
ENSMUSG00000000184	286.1603	0.1177006	0.13529554	0.02382717	0.3352444
